id,geom,Unemployment Rate,Employment Rate,Family Identity Card,Death Rate,Migration,Registered Residents,Health Facilities,Mortality,Water Access,Internet Access,Electricity Access,Income per Capita,Population,Birth Rate,Households,School Enrollment,People Density,Average Age,Vehicle Ownership,Literacy Rate
2018,POINT (101.429911 0.761716),18.59,40.88,501766,50.31,15.91,812892,68268,82.7,70.84,19.59,44.83,4884885,637290,17.79,250384,98.26,21827,21,2,54.38
2019,POINT (104.501395 -4.677531),9.12,3.33,594841,27.28,60.59,284120,748693,85.47,69.92,44.01,33.71,5659580,21018,20.93,717917,17.28,13742,31,5,13.14
2020,POINT (139.532501 -5.150949),2.59,98.87,62522,24.35,37.04,13251,756315,18.12,10.71,75.51,97.4,1360456,470594,71.55,179845,71.02,1270,54,1,88.89
2021,POINT (117.250982 3.360005),53.88,95.27,175954,95.72,59.99,896627,485259,74.71,53.15,65.16,56.36,14591451,601466,62.25,204387,20.88,8703,56,4,68.68
2022,POINT (101.840040 -1.275058),57.43,13.25,17362,34.19,51.27,542558,676084,21.72,38.77,24.15,86.28,9688579,797013,91.69,305734,55.95,9451,40,0,47.89
2023,POINT (139.393792 -8.095640),82.62,46.82,787692,64.33,2.31,344643,131329,45.93,9.3,93.79,18.29,2529416,980949,15.69,392703,58.72,18633,56,4,63.52
2024,POINT (111.510228 -8.045026),91.07,26.86,684557,52.71,0.97,933347,433168,52.85,98.94,74.47,31.63,13878971,242039,8.84,790215,5.97,23943,49,0,89.41
2025,POINT (97.716479 2.813214),50.04,46.25,570136,54.03,98.68,126935,327028,6.52,5.87,50.65,61.68,7492662,201813,5.2,69855,98.06,10881,72,0,48.79
2026,POINT (113.244049 -0.077495),92.7,42.47,58096,80.25,56.79,509043,864251,37.48,39.41,64.62,21.59,4276971,480038,82.22,374674,46.64,23263,40,5,56.55
2027,POINT (104.883394 -3.986461),97.24,90.8,103755,77.34,38.76,510512,658891,85.07,19.68,69.61,46.83,8989609,564934,41.06,300392,16.72,3902,67,2,97.97
2028,POINT (117.792943 1.766814),31.82,82.79,476393,57.93,64.13,266351,205771,14.99,62.32,33.53,41.67,1488194,395643,26.7,644619,71.86,10813,57,0,34.27
2029,POINT (135.317572 -1.499210),96.33,18.72,901839,64.92,2.83,314850,445253,37.66,16.11,7.32,64.81,5339942,856224,61.54,43281,31.46,19948,55,5,59.18
2030,POINT (115.648578 1.465522),66.03,88.35,446886,52.97,46.02,564735,711471,35.19,83.37,20.3,30.47,2911137,521249,71.55,469923,93.95,19765,79,4,30.99
2031,POINT (113.352423 -7.202833),68.78,26.63,749554,86.26,9.56,81897,803825,71.4,25.78,98.97,19.32,2783875,941238,39.69,230639,67.58,17881,53,1,33.01
2032,POINT (115.489965 -2.304166),90.64,21.77,875790,42.0,73.82,813123,200673,84.48,68.54,85.64,11.79,11216841,847117,48.82,415625,8.64,15044,25,5,89.31
2033,POINT (117.908883 -8.162719),69.92,73.57,485937,52.01,46.29,632705,393930,6.56,23.53,17.06,48.62,5939885,548024,98.49,478849,36.54,8149,34,5,94.85
2034,POINT (104.651500 -3.177496),80.51,4.55,720360,41.39,15.23,300172,94437,44.88,99.58,63.16,13.94,13306985,985150,61.23,202336,88.89,12314,43,3,52.28
2035,POINT (117.239129 -8.764918),80.54,23.52,927975,20.79,87.56,533648,76277,39.92,80.7,46.93,43.78,10224098,461859,65.72,157599,23.75,10607,80,5,6.15
2036,POINT (104.403680 -4.548739),0.91,19.93,786542,56.2,38.11,96257,128875,14.27,98.52,72.14,36.53,3105080,798523,44.09,53120,90.15,9667,34,2,20.78
2037,POINT (118.895635 -8.423463),19.62,19.14,191578,23.7,5.79,822180,687654,15.47,45.12,94.88,28.5,11734555,95520,4.93,63252,34.86,2017,52,5,73.7
2038,POINT (110.877615 -0.469234),78.88,11.15,882535,27.47,37.13,329849,927452,17.33,98.68,59.02,71.73,8117340,564310,18.84,434828,94.23,16809,76,5,15.94
2039,POINT (102.035324 -0.298729),6.35,5.63,844245,45.12,45.57,709079,684925,95.19,16.11,67.97,19.03,2774529,266194,27.97,49056,1.82,24319,52,5,35.91
2040,POINT (114.763045 -4.003120),73.24,76.93,378193,95.17,49.9,479252,184425,37.21,21.81,73.33,66.42,10459977,873581,52.4,660321,42.09,9097,42,3,6.84
2041,POINT (107.371777 -6.902753),13.76,54.85,54601,66.86,39.31,973873,931171,20.9,23.0,71.22,60.45,9165495,538751,23.08,738445,94.47,12963,74,0,52.31
2042,POINT (134.626146 -3.493706),79.15,46.5,220953,80.71,0.81,264513,100088,20.33,44.29,16.57,54.94,3028420,380431,93.21,247193,76.62,4849,43,4,93.99
2043,POINT (121.957305 -3.910888),3.5,6.17,544177,87.15,11.9,705133,725392,50.64,66.6,31.87,4.32,11021525,195488,60.66,410442,56.65,19469,60,1,20.41
2044,POINT (137.849011 -7.937028),44.71,22.44,900921,14.87,51.56,851797,699407,78.86,35.22,96.08,67.55,2619028,77073,7.4,741075,62.78,23096,28,3,12.94
2045,POINT (102.562105 0.075959),92.13,59.14,970932,6.34,15.47,467181,672954,65.56,57.94,39.2,71.68,8802344,565726,44.53,48961,6.48,11339,29,2,64.63
2046,POINT (103.683600 -1.756654),87.22,82.04,330302,35.36,15.02,731874,514834,63.29,37.92,24.24,84.49,3840586,408588,48.13,603996,89.21,5320,33,3,68.0
2047,POINT (100.662662 -1.090085),11.78,87.75,666500,87.23,82.53,481538,778455,3.59,15.89,49.71,6.3,7325984,83807,39.8,479183,90.27,15728,55,1,47.84
2048,POINT (123.444354 -1.450607),77.37,43.23,961260,80.31,65.56,971572,3212,97.33,88.91,24.55,79.13,11715110,404165,72.73,127339,6.84,22090,39,3,26.76
2049,POINT (133.236021 -3.413648),43.01,7.57,838006,89.78,24.21,424148,698740,20.54,78.25,35.93,86.49,8839884,655117,42.21,383843,5.8,16269,60,2,51.84
2050,POINT (121.634737 -1.890554),18.1,3.08,282124,66.23,20.55,120912,718259,70.5,22.92,92.3,67.43,10537899,363587,45.31,887612,26.45,15111,68,4,4.76
2051,POINT (131.200931 -1.356893),68.58,51.63,392735,16.21,57.26,241351,750677,36.7,29.15,7.23,77.82,9721853,793247,64.79,772917,82.57,1775,56,2,75.4
2052,POINT (99.644282 2.580569),1.39,68.87,784626,71.74,8.33,637406,18202,39.83,77.02,63.17,91.7,11184961,856309,82.85,604801,3.8,6131,26,2,41.76
2053,POINT (140.368969 -2.932944),15.67,97.65,76620,21.04,73.17,76844,175159,46.52,41.86,54.06,82.85,13080451,442445,16.23,479875,47.09,11506,61,1,68.33
2054,POINT (122.433823 -3.771496),63.1,23.96,843235,68.56,4.62,723365,637430,58.19,72.08,22.93,63.6,3682823,14455,56.6,16790,71.52,9592,45,1,96.15
2055,POINT (113.855699 -1.736118),18.4,91.27,228016,58.92,24.65,455446,888298,96.19,34.85,19.51,43.62,4904060,357831,55.96,850802,71.83,9873,53,2,18.94
2056,POINT (133.301508 -3.009077),18.6,67.9,612692,49.83,95.06,241681,643688,47.1,98.43,29.14,49.17,2132075,540873,5.33,180806,80.29,20371,47,3,80.51
2057,POINT (97.234520 4.815938),65.7,86.23,121552,25.46,66.11,247491,637074,58.31,39.12,67.24,48.82,12081135,663535,36.11,660763,98.79,7285,37,1,8.21
2058,POINT (105.435396 -3.845739),51.34,52.28,855684,74.73,41.92,129264,717317,35.68,55.4,78.82,89.32,3782780,889367,58.9,128606,72.05,4532,51,1,82.46
2059,POINT (112.387264 0.444644),34.25,74.94,886711,54.72,16.33,592816,129832,5.44,46.56,46.18,74.36,11344237,661523,9.22,860787,19.92,21279,20,2,55.96
2060,POINT (138.538410 -7.564274),39.21,71.65,125911,94.74,47.78,789627,820414,35.03,66.05,30.5,9.47,13096846,874582,94.56,809141,2.27,5057,31,0,97.74
2061,POINT (102.283934 -0.118175),25.08,45.12,256571,21.52,44.97,801417,873815,35.7,23.48,61.51,46.07,7357035,497200,0.69,116266,1.62,5333,47,0,84.38
2062,POINT (130.787163 -1.105927),84.64,72.66,855400,0.64,82.61,873863,730009,81.26,59.82,85.88,93.01,13219964,470590,12.73,854982,84.49,18928,78,1,12.35
2063,POINT (104.949117 -5.388260),67.39,29.87,838205,10.75,33.65,702343,843008,45.7,15.13,7.45,37.22,10192024,897475,73.42,730118,31.24,14285,29,0,94.47
2064,POINT (109.515269 0.582065),35.91,49.53,397093,49.58,15.05,883769,438036,93.46,59.33,71.4,96.42,9420179,502828,58.88,120812,10.52,18408,61,1,96.51
2065,POINT (116.097827 -3.023406),43.98,3.41,642344,49.67,96.26,978346,278282,74.15,92.32,23.88,53.77,4628230,318087,19.89,921500,65.62,16148,48,4,45.92
2066,POINT (109.148136 -6.923070),80.99,73.45,303160,10.66,42.77,274592,771291,56.89,1.93,6.47,5.52,11417517,703049,55.58,189913,7.11,5713,63,5,14.42
2067,POINT (100.328503 1.906203),48.47,14.62,395703,58.37,60.73,626905,43578,61.07,57.03,53.19,22.75,8927773,61628,13.83,902339,68.52,16485,59,4,48.06
2068,POINT (109.395911 -7.421663),95.3,90.97,863149,89.55,39.35,185499,317805,25.34,32.67,25.23,8.29,8165031,198822,80.73,118551,96.16,15790,73,0,32.58
2069,POINT (123.903533 0.443886),61.45,91.55,534256,15.73,59.32,671142,991492,83.71,29.31,29.52,54.45,4579917,519437,87.53,333402,23.31,15082,31,4,62.41
2070,POINT (122.807847 -5.363520),66.81,62.71,832288,2.49,40.81,236041,763678,95.81,37.98,22.18,59.27,13757715,337592,67.39,987232,85.64,2556,58,3,24.49
2071,POINT (132.285105 -2.870574),44.86,56.25,599444,35.95,78.28,719803,71923,48.02,65.81,23.47,59.06,3073990,343724,82.16,700441,4.33,5466,28,3,91.33
2072,POINT (112.332979 0.369967),68.05,70.83,554902,74.24,46.93,372706,912420,65.77,49.29,8.96,44.46,13549250,346500,87.69,977747,86.83,12376,53,0,48.53
2073,POINT (137.023220 -2.657279),6.38,56.24,191104,78.18,36.58,756672,180738,44.31,11.85,7.3,23.84,8665690,613999,41.03,89546,43.96,24818,24,3,15.64
2074,POINT (110.206149 -1.766301),74.12,42.89,228099,43.79,5.82,175371,403972,15.67,47.58,22.43,88.01,1615745,482647,67.2,168594,0.9,1107,62,3,34.5
2075,POINT (104.246022 -1.752749),51.7,45.25,24602,68.25,99.87,761752,196098,16.69,65.79,80.55,96.09,2120045,390349,1.46,592907,89.65,1828,30,3,14.97
2076,POINT (129.848882 -3.275783),19.02,68.61,121511,93.64,63.88,991258,371522,53.02,13.75,35.42,17.13,9239943,121847,10.24,935846,44.35,23541,23,2,97.84
2077,POINT (110.848000 -1.931711),53.18,38.65,800353,68.08,61.12,982698,716551,85.92,44.32,23.39,31.57,12604883,519308,60.26,766603,44.57,5296,78,1,71.08
2078,POINT (109.514273 1.265723),51.32,23.82,601077,51.5,98.18,274588,824131,66.28,42.35,14.27,77.09,1422728,32295,44.54,655678,30.8,13891,41,1,84.75
2079,POINT (136.789201 -2.681561),37.43,65.63,906916,71.89,58.46,191361,105686,1.54,82.88,14.68,46.41,1369607,960871,16.68,617726,9.28,13462,74,1,15.59
2080,POINT (100.833914 0.289625),57.98,24.28,891376,87.28,15.23,8533,873346,85.81,42.44,93.09,89.73,6520095,580688,52.79,624560,27.51,9879,22,3,31.33
2081,POINT (134.464122 -3.676354),75.41,85.86,878100,64.61,72.92,261593,659583,37.13,70.14,18.3,1.81,14914370,980955,44.34,692572,57.62,11678,60,5,22.4
2082,POINT (103.208468 -0.940284),78.66,79.93,187150,28.7,83.88,417472,233810,24.45,58.06,59.34,6.46,11210952,910113,37.21,542531,40.2,18751,40,3,50.44
2083,POINT (99.573738 0.427285),42.72,62.99,226180,39.93,9.38,810577,178480,37.85,71.37,51.48,64.7,14732961,671243,28.69,941917,26.03,10114,26,0,18.01
2084,POINT (109.191579 1.540585),96.72,74.77,986167,68.0,73.48,637261,232284,6.62,30.27,28.88,9.91,3553182,206357,98.31,359116,40.87,2993,48,3,11.53
2085,POINT (128.894929 -2.861692),79.84,80.39,722416,57.47,29.83,556884,990693,51.49,51.62,76.05,19.27,13133150,470477,8.86,906810,36.66,6807,38,0,60.08
2086,POINT (130.387036 -3.494194),84.92,40.9,592699,28.02,14.12,622418,947181,17.81,98.82,38.16,12.23,3446205,238427,82.39,122351,99.13,13410,44,3,87.63
2087,POINT (122.018166 -3.929889),99.93,55.66,405900,10.54,74.15,166588,637585,35.3,21.69,27.41,74.61,6171941,588785,85.49,140008,69.11,12613,27,0,23.59
2088,POINT (127.808427 -0.037564),28.38,98.74,785412,86.32,65.33,382008,20728,74.85,54.14,43.48,7.19,2942867,449732,9.32,183572,7.94,6321,38,0,89.28
2089,POINT (117.040455 1.410710),65.18,58.54,889746,58.76,43.34,987397,254427,67.47,51.64,35.88,55.85,11135218,159854,74.77,448486,39.2,3021,37,5,7.2
2090,POINT (120.283105 -8.409878),7.81,11.79,764229,85.27,66.2,955977,722682,78.89,3.18,71.69,86.64,10423159,289478,58.42,899942,56.77,16101,73,5,45.13
2091,POINT (130.872537 -3.593956),18.07,98.75,830306,30.77,72.38,219470,773504,13.89,39.72,84.1,6.35,2792486,815909,84.34,792411,31.95,8028,64,3,16.35
2092,POINT (120.751395 0.669963),74.37,87.19,781302,47.37,10.9,385305,538280,87.54,94.1,98.55,62.68,11396957,732189,16.45,470170,30.55,3491,50,3,76.79
2093,POINT (136.100765 -4.113175),97.2,54.55,852770,77.22,89.61,306813,668268,99.94,33.56,62.67,35.21,5230944,447416,62.31,672840,55.85,18800,42,4,6.72
2094,POINT (103.636759 -2.457663),14.84,44.55,808726,34.82,88.85,879058,142377,94.06,47.95,91.85,2.95,8636430,533462,96.46,910566,44.4,2807,35,4,58.97
2095,POINT (134.279043 -2.638219),83.06,39.58,792263,81.35,15.93,887854,96011,43.92,54.08,89.71,71.06,10989969,445258,84.26,888594,19.91,16894,50,0,8.95
2096,POINT (140.156052 -5.716136),75.22,80.14,793454,17.69,92.25,456080,930298,69.51,63.36,9.22,76.73,2142214,994268,78.16,648956,14.88,12493,65,2,95.54
2097,POINT (103.193571 -4.434806),85.51,99.82,854854,90.88,81.88,890551,221529,90.52,30.44,30.06,66.49,13274102,73879,63.7,778990,38.29,6696,47,3,15.87
2098,POINT (122.889294 -0.819105),56.93,38.79,697748,51.24,6.35,467987,682178,15.92,47.44,26.13,92.04,4721671,711059,10.09,649036,37.97,20358,44,3,63.65
2099,POINT (95.421015 5.238764),63.26,83.33,87499,60.22,64.95,744390,127039,39.54,61.02,48.87,55.87,1184020,113892,82.35,971844,75.03,13330,76,5,57.23
2100,POINT (117.425186 1.813998),1.77,67.83,294542,58.65,23.69,716113,384450,49.93,36.58,10.89,0.7,5975819,941534,20.58,899320,55.48,21676,65,5,41.91
2101,POINT (139.656234 -4.287119),59.88,22.66,61168,89.09,65.04,715724,340449,18.89,71.71,45.68,39.53,12834938,746699,39.07,527437,82.06,8663,23,5,75.85
2102,POINT (119.852808 -4.789287),22.56,85.74,281084,74.61,39.97,28491,21909,93.08,21.14,85.5,17.37,7516568,954864,18.21,597370,7.07,19036,38,0,95.23
2103,POINT (138.022804 -2.402109),75.12,94.65,838390,87.94,40.46,468995,88194,71.32,91.55,59.27,55.47,2373573,625393,14.0,659362,8.91,10116,27,2,38.5
2104,POINT (112.510986 -1.139045),80.78,48.19,915527,32.54,59.56,294177,727322,40.81,87.98,48.91,25.01,2083463,916513,66.12,964462,85.73,5897,28,1,77.91
2105,POINT (115.661536 1.078489),3.8,25.89,692983,10.08,30.28,458449,791698,18.49,55.25,47.04,46.86,4773167,771324,75.22,330581,56.51,2204,39,4,15.32
2106,POINT (120.197375 -10.195522),36.58,78.25,834961,91.66,55.79,330464,23444,9.44,19.45,69.93,22.55,10649383,199365,88.91,489835,53.96,23290,20,5,29.52
2107,POINT (109.583834 -7.754674),46.45,1.7,321503,5.04,15.42,365046,688730,25.77,3.11,67.43,50.75,9853242,889804,12.52,358268,84.58,22573,62,5,70.68
2108,POINT (115.742175 2.228873),11.15,31.35,465966,65.8,38.8,443096,547507,90.48,27.88,32.16,60.95,1718350,112318,14.59,629353,11.11,7099,39,0,39.66
2109,POINT (115.267826 -1.038945),53.29,30.16,927899,26.46,62.76,978771,829134,69.71,77.17,26.03,11.61,12462731,780622,66.14,887361,34.32,4223,22,0,66.95
2110,POINT (139.164613 -5.598908),71.3,25.79,699996,20.51,57.11,243178,790917,41.63,87.46,39.9,18.12,5135205,340942,0.08,439475,70.07,17059,64,0,21.39
2111,POINT (140.183122 -3.406285),55.39,77.51,555204,13.9,32.7,66183,273384,51.84,98.85,49.01,22.02,13110792,137605,21.01,340478,78.81,11923,23,2,51.11
2112,POINT (115.334462 -2.007364),3.55,44.08,589990,90.32,77.81,95803,990904,21.09,38.94,56.33,13.89,2937283,853010,4.93,782291,7.14,20921,36,2,47.61
2113,POINT (100.937600 -1.927869),71.77,72.49,614936,41.96,7.14,156408,860863,63.05,58.14,73.88,32.04,7393861,912441,73.36,29691,83.85,16440,28,0,62.91
2114,POINT (140.944304 -7.562768),83.54,98.32,758948,73.63,38.64,554528,892108,83.97,34.33,28.54,41.2,6599876,207623,14.53,363259,40.47,18206,23,2,8.29
2115,POINT (133.566431 -1.514930),33.95,66.92,134756,11.2,15.15,726910,34391,6.64,31.33,6.94,65.92,4199778,988728,22.14,954336,69.61,4231,36,3,83.95
2116,POINT (101.345730 -0.884465),27.9,74.86,762661,16.01,42.82,882563,414785,78.45,57.87,91.25,61.15,3246755,399477,91.85,233307,47.02,24045,65,1,78.27
2117,POINT (116.883517 3.882833),51.83,62.99,738465,32.89,73.33,516162,816530,79.01,74.6,84.8,84.97,10033893,89846,16.31,605408,50.83,21083,71,5,36.61
2118,POINT (140.158876 -4.219826),77.31,42.88,580147,82.42,1.12,791383,881364,82.39,22.62,24.25,2.98,14542140,338781,87.36,221055,58.54,22393,39,5,26.03
2119,POINT (137.156452 -3.185004),13.07,26.53,752818,73.19,68.56,363385,928550,87.66,76.91,94.42,0.57,3482367,492778,68.13,696218,77.33,11327,75,4,83.01
2120,POINT (115.947351 2.183009),16.64,76.35,342388,2.76,80.27,934293,811105,59.47,78.74,54.52,93.1,14334378,83087,61.93,110783,36.89,12850,34,0,97.74
2121,POINT (117.014626 3.839289),60.76,12.32,506869,97.27,69.05,228109,260589,48.23,43.31,19.0,78.65,11376809,303462,97.41,842393,7.13,7927,70,0,4.59
2122,POINT (119.374655 -2.308769),68.9,92.88,765575,34.07,18.13,775008,394971,19.09,74.55,54.49,58.93,4822022,649576,35.56,91545,29.61,24089,61,5,41.01
2123,POINT (99.970109 0.898317),9.99,45.76,307716,0.54,29.15,265347,288844,94.73,6.95,7.16,11.39,9824177,731009,24.44,984259,85.55,20157,35,4,28.54
2124,POINT (132.733725 -2.853076),58.65,11.28,651216,83.36,96.41,827109,794940,51.06,22.57,2.62,2.14,8854859,610012,99.76,911501,60.3,14121,65,5,24.3
2125,POINT (112.156413 -1.902734),1.62,0.65,603547,7.45,95.68,12999,100776,12.21,49.35,9.79,76.87,5075797,958279,62.31,594768,67.39,3179,49,0,21.65
2126,POINT (120.171771 -1.925650),76.41,67.22,624825,8.35,96.46,574585,551228,99.42,55.33,94.82,22.68,4159030,409236,23.39,690208,55.67,4810,61,0,49.26
2127,POINT (139.942928 -7.528751),21.87,15.96,377670,62.37,89.35,795135,323854,13.38,34.99,37.52,66.73,2104126,948471,41.78,462601,0.53,11399,69,2,28.06
2128,POINT (114.477151 -1.953092),86.01,95.62,183241,75.98,27.13,201560,796686,62.9,91.75,54.0,19.34,5377723,597530,40.4,21712,64.18,20655,36,0,1.66
2129,POINT (112.314089 -2.358844),68.97,45.16,831360,2.82,39.45,845613,633086,75.52,50.39,52.73,85.49,11448740,517724,4.1,601567,14.24,14779,48,0,16.37
2130,POINT (116.665915 2.904319),40.59,74.53,588201,32.81,65.53,690711,696339,44.56,26.87,71.38,80.8,12429907,237142,54.55,984965,84.51,18961,26,0,76.19
2131,POINT (133.865667 -1.393918),38.87,98.87,406019,85.34,65.45,835236,997619,83.76,92.24,62.55,50.23,8220880,199187,46.17,715097,56.74,9602,58,4,35.8
2132,POINT (140.732391 -8.861203),31.15,78.14,79721,32.15,84.39,945756,580101,14.03,38.99,39.0,36.51,13535089,249875,97.62,368657,85.65,18433,65,0,17.58
2133,POINT (138.716772 -7.545724),33.63,14.85,670477,74.71,45.75,702566,277973,53.1,63.08,98.29,96.49,5476860,650609,30.74,926538,97.68,6633,55,4,99.76
2134,POINT (98.299505 3.339278),60.24,51.87,867237,99.06,61.85,886200,966466,92.41,8.5,48.2,87.5,5206184,591686,51.48,969414,30.37,21334,66,2,89.03
2135,POINT (138.147091 -7.934445),68.6,18.34,385918,40.28,97.02,351191,505750,12.96,8.1,65.65,43.09,5679021,561471,60.03,328721,42.66,2130,38,2,1.13
2136,POINT (103.249315 -0.183958),55.63,3.37,715563,17.47,43.78,334850,225929,90.08,90.13,19.02,71.09,12332440,999815,97.81,945263,57.17,11224,28,4,95.49
2137,POINT (123.994261 0.346934),49.91,49.4,500685,83.6,91.98,997963,260815,22.81,77.55,43.97,38.85,9377931,623074,57.33,784660,56.49,10051,49,2,4.47
2138,POINT (120.027451 -0.010562),92.42,53.96,591833,89.64,8.99,421361,898271,47.9,95.6,26.32,83.01,13801698,463526,97.72,213304,95.62,11799,46,4,33.65
2139,POINT (105.529381 -1.598368),85.56,51.19,531265,76.4,80.82,121687,600871,88.9,75.47,51.96,26.89,3266768,989345,79.35,416244,59.07,19374,53,3,68.25
2140,POINT (133.646945 -3.035777),74.76,64.91,513203,45.99,95.59,895408,157288,10.21,26.45,8.81,41.74,3195714,181150,16.29,255918,59.97,7394,63,3,7.59
2141,POINT (111.126458 -1.196952),35.05,45.62,821826,22.85,46.52,505823,214932,65.35,40.5,63.4,6.04,1450512,482671,80.34,68979,99.55,3108,48,3,69.25
2142,POINT (140.130736 -4.557217),28.18,60.25,793473,5.73,3.26,408919,412787,78.52,31.42,39.78,78.8,13190649,746536,30.87,590014,45.08,5431,58,5,8.64
2143,POINT (127.804630 0.331122),5.51,99.23,311782,12.67,15.58,559372,638493,0.57,71.7,76.94,75.69,12393154,233392,32.02,245230,19.71,11259,35,0,29.32
2144,POINT (97.433303 1.425205),26.6,69.91,689065,23.97,47.29,346472,103191,68.32,39.49,5.76,48.16,6262208,963736,17.53,973059,29.41,7281,20,5,2.1
2145,POINT (121.540288 0.629482),74.63,48.14,265491,24.08,94.13,7972,99863,68.99,30.11,71.71,72.45,4978245,166457,53.38,300621,49.21,23835,62,5,94.17
2146,POINT (111.532747 -1.269618),49.07,26.79,52074,9.46,77.01,810957,142403,27.25,97.7,27.78,77.67,2937304,937507,36.77,69049,36.79,22073,24,0,5.14
2147,POINT (135.175252 -4.115815),88.14,75.01,829646,97.76,71.12,995521,965861,4.81,16.15,59.61,16.49,4685156,761854,95.38,331149,89.98,1250,45,3,75.71
2148,POINT (140.048939 -6.329777),7.27,45.52,581313,33.09,95.24,659577,628661,25.97,91.08,14.77,12.14,5976938,52557,56.16,706767,26.63,24605,48,4,43.66
2149,POINT (114.118679 -0.839163),57.32,18.25,748116,46.53,7.95,330422,629861,95.38,39.98,76.38,21.83,2940823,235211,92.03,820006,25.14,21893,22,3,92.8
2150,POINT (113.536690 -0.843500),29.34,28.24,42412,21.0,22.8,602126,610492,56.62,46.46,52.76,23.58,14168416,667056,1.95,249095,73.78,15275,61,1,50.99
2151,POINT (103.758035 -1.490195),74.89,16.06,541049,37.85,76.68,373202,814592,37.77,90.62,7.46,56.97,1530917,33914,45.43,850689,90.14,10478,66,3,27.77
2152,POINT (139.657251 -7.311532),76.24,73.65,226125,43.21,83.88,216590,466020,99.14,77.55,1.49,65.38,6739055,596404,85.7,517986,55.83,21603,33,4,98.29
2153,POINT (138.538208 -2.177971),84.02,0.64,487914,46.83,61.4,494069,481327,13.06,37.57,92.31,0.7,10350384,738496,32.25,747660,67.41,18559,70,3,86.96
2154,POINT (139.309594 -4.368341),50.56,86.39,551914,84.69,78.2,369198,431410,27.41,16.19,68.87,83.48,13353884,672031,17.0,864291,6.26,20413,77,0,77.73
2155,POINT (119.283055 -2.110826),42.39,92.22,565094,28.44,58.68,680342,155939,74.52,18.07,65.04,26.73,12972618,268433,61.92,125375,65.48,7061,57,0,10.35
2156,POINT (116.627129 3.428938),54.19,26.57,834333,49.71,24.07,682874,255750,7.14,29.56,90.5,53.23,10970697,573455,15.02,860665,89.73,12001,49,3,96.29
2157,POINT (114.708403 -1.922209),27.37,13.51,795513,59.41,38.5,19970,948222,19.31,61.98,61.11,97.48,14964227,478902,42.89,228592,78.09,18370,44,1,19.37
2158,POINT (122.718233 -4.977210),81.56,5.38,607742,17.7,78.47,231056,474325,35.28,52.37,1.87,73.32,7485171,559642,42.81,408785,47.67,7921,62,3,77.7
2159,POINT (139.059729 -3.138422),17.25,96.06,359535,47.43,99.02,495663,503565,63.19,4.78,26.19,83.1,6003315,164883,61.71,439935,23.11,10308,22,3,38.74
2160,POINT (140.754214 -4.249266),70.83,33.27,715082,9.86,49.46,146612,142315,26.4,24.72,92.32,46.79,2294759,898753,37.61,72983,57.49,8136,55,4,76.52
2161,POINT (120.465968 -10.150116),33.22,47.24,483067,97.34,10.87,200962,33836,71.25,19.3,18.34,35.62,12996058,573442,53.9,776255,34.25,5703,73,0,27.83
2162,POINT (95.799522 5.435276),9.24,96.69,152333,43.24,2.33,322900,303978,71.66,17.97,58.0,14.49,14968939,251581,13.6,244569,3.17,20633,65,0,41.97
2163,POINT (117.408795 3.871291),60.15,11.97,779781,75.55,56.58,885630,447589,91.17,16.54,93.68,62.08,11514842,499468,39.35,156660,81.61,5502,37,0,74.1
2164,POINT (113.625994 -1.815656),54.33,61.22,140995,55.96,74.15,421808,22378,48.89,25.95,33.92,28.04,12502103,613043,70.38,859568,3.73,24926,45,2,63.64
2165,POINT (111.703680 -0.603313),81.01,18.73,506079,12.8,30.74,429843,600783,70.66,21.74,88.01,9.17,11874814,579432,72.1,330711,87.7,21426,60,0,41.94
2166,POINT (105.313951 -4.824423),85.98,8.93,259398,84.3,41.56,582842,683464,84.21,91.59,9.86,79.43,1035647,61079,4.67,756837,56.1,18933,21,5,51.63
2167,POINT (115.804985 3.546885),84.43,48.77,359081,35.0,5.72,565456,912962,50.57,15.35,2.01,92.67,8034916,18669,59.41,203277,81.19,23964,70,2,59.58
2168,POINT (120.425475 -1.146463),33.36,96.09,484998,92.88,59.62,162248,187658,23.56,12.85,25.9,3.78,10210086,317634,74.91,275956,8.01,2172,29,2,20.78
2169,POINT (109.462018 1.187199),50.53,92.71,79260,36.78,62.82,436531,634218,80.55,42.92,2.07,1.32,8349246,283043,94.77,173094,23.01,9339,46,3,16.65
2170,POINT (110.179647 0.353335),88.32,16.72,149617,62.76,96.9,914461,69356,39.97,20.57,43.28,72.16,8960312,430254,15.84,422436,36.28,12868,69,5,31.35
2171,POINT (107.800880 -2.702907),27.86,68.06,510505,66.14,29.14,885842,343289,16.32,51.32,54.6,41.01,2904732,89806,61.01,215451,73.54,7091,60,3,20.81
2172,POINT (116.146242 -0.548504),62.06,5.11,890146,44.89,90.8,951202,896105,52.87,28.61,69.16,36.1,9167891,194327,18.86,63898,40.59,1305,63,1,46.24
2173,POINT (138.152000 -4.840289),84.09,31.6,727368,13.7,69.36,170346,916222,15.27,35.73,66.6,26.5,10011459,44388,88.35,577889,86.92,23929,76,1,54.97
2174,POINT (111.876273 -0.458224),65.47,99.53,212542,3.86,54.32,53069,334019,70.29,55.18,54.93,38.78,10801055,270737,67.18,329684,77.4,7604,28,2,10.94
2175,POINT (101.008265 -0.640052),41.47,67.5,130926,53.09,95.34,426637,254181,35.3,24.8,6.19,65.16,2552686,287776,55.68,735663,61.84,1360,20,4,70.94
