id,geom,Health Facilities,Electricity Access,School Enrollment,Literacy Rate,Income per Capita,Death Rate,Population,Migration,Mortality,Average Age,Households,Registered Residents,Water Access,Birth Rate,Unemployment Rate,Internet Access,Employment Rate,Vehicle Ownership,Family Identity Card,People Density
522,POINT (105.051912 22.874967),821046,97.08,51.52,50.99,8566137,72.73,480703,88.81,36.83,51,246753,22883,68.45,93.16,16.15,41.13,34.01,4,889682,21501
523,POINT (106.126647 11.510819),21725,11.85,77.05,94.03,4050998,92.96,389007,62.94,24.34,25,572685,293780,37.07,17.32,6.93,64.69,6.9,4,628832,6123
524,POINT (104.880841 10.558577),551204,59.07,90.55,26.23,10540160,88.59,763810,4.78,42.22,21,654204,356028,22.86,86.99,88.84,84.3,16.11,1,5508,19549
525,POINT (105.202727 9.991799),938094,12.23,70.87,4.92,14883925,40.93,469605,77.46,40.46,54,557981,59598,59.57,87.87,68.39,39.01,38.21,5,35319,6545
526,POINT (105.131358 20.265976),559498,6.1,10.55,29.88,14945292,2.86,336491,38.21,65.38,62,717181,39309,48.69,73.3,61.05,86.43,74.7,0,976060,3718
527,POINT (106.440396 17.157308),424569,10.44,4.9,99.51,2154143,50.75,706302,52.58,32.6,23,888995,622234,98.75,39.94,56.56,71.83,95.34,5,74094,11748
528,POINT (107.310985 11.616493),827403,45.4,25.68,78.22,12007388,53.58,383029,74.22,54.59,57,819786,817835,19.48,34.33,42.52,49.18,43.33,0,810318,9743
529,POINT (107.196402 21.245762),14712,86.01,60.78,74.04,1682103,3.93,231566,57.96,35.43,63,794142,366620,71.42,99.34,44.87,18.11,85.71,5,775128,15054
530,POINT (106.233817 22.783987),784583,14.98,43.16,16.34,12051558,78.98,853816,42.68,55.26,36,89496,572704,48.3,96.33,12.76,7.62,96.01,1,669274,20428
531,POINT (108.529954 12.893456),514169,76.62,38.65,26.65,6118607,52.35,84500,94.87,8.26,35,731854,832949,93.06,73.0,94.97,25.83,3.38,0,325257,4199
532,POINT (103.128571 21.947955),443902,71.62,43.97,50.36,1872858,22.73,521815,79.57,75.16,55,19059,754685,27.62,31.38,86.37,93.27,53.81,4,485761,15879
533,POINT (108.191487 11.320680),189166,15.54,16.6,32.81,10239813,18.81,298649,54.31,97.64,42,641935,901482,75.94,22.32,6.02,42.66,55.37,3,285136,12526
534,POINT (108.725075 12.781700),215835,45.55,61.63,48.07,2986725,36.59,904928,36.01,13.7,54,135604,317025,20.49,52.85,31.3,82.39,34.12,3,472912,23915
535,POINT (108.504342 12.655423),452467,45.96,38.08,47.49,2657434,87.37,20086,50.47,16.39,74,637629,459233,6.64,1.47,25.77,34.82,1.35,5,61027,10251
536,POINT (105.948914 10.434211),474211,81.3,55.46,11.5,5889162,1.85,166074,74.0,35.49,67,728337,952099,66.93,14.41,26.5,36.39,85.54,5,675922,10626
537,POINT (104.442838 22.108509),588109,98.57,42.37,64.06,7430277,88.17,412023,89.06,42.21,51,410794,242019,42.05,91.31,34.23,83.08,47.71,1,4864,1897
538,POINT (106.311021 20.814412),944496,7.18,49.68,23.99,5151610,47.61,578937,30.64,21.09,70,473613,660397,1.1,16.81,21.04,57.99,91.65,3,585872,14959
539,POINT (106.750339 17.232413),467344,22.58,26.15,2.26,14553282,40.71,771057,94.59,91.45,41,483770,573874,18.44,98.66,18.58,0.88,91.51,4,794435,5447
540,POINT (106.154602 11.071808),705972,89.33,23.22,18.48,13375370,23.16,435071,17.9,92.44,57,912708,550523,50.95,24.97,47.53,11.89,1.67,2,223395,9754
541,POINT (105.109369 18.549382),774610,38.24,38.43,39.45,1907429,95.45,581734,99.95,58.53,74,833543,522316,5.82,47.75,50.85,8.47,73.19,4,41375,8605
542,POINT (105.746641 21.005568),374790,22.18,7.2,48.82,5719937,18.53,519066,94.23,60.77,72,889858,733082,51.71,15.55,70.2,26.3,1.13,3,437338,19363
543,POINT (105.349125 19.995513),990970,56.19,74.91,59.13,5416410,56.53,302612,1.33,15.64,40,981992,468052,25.2,77.3,57.82,61.5,55.4,0,859988,17231
544,POINT (105.423663 20.510852),165590,18.95,84.4,96.5,8809699,13.4,170954,55.2,9.65,23,85367,258742,6.76,23.58,83.81,66.37,65.13,1,777973,5630
545,POINT (109.077384 13.384370),134664,60.2,73.57,60.91,13062642,86.5,77529,49.36,70.35,56,359574,709770,3.06,0.83,32.18,34.5,13.29,2,768112,19082
546,POINT (106.097852 22.679647),384911,5.06,20.31,62.9,13446899,33.45,786445,66.01,53.34,63,958036,818268,36.58,0.0,11.95,46.38,11.26,4,141128,16670
547,POINT (106.606085 10.179447),325646,71.68,40.52,51.7,3665409,41.98,205430,95.67,13.05,29,442642,511466,69.92,57.99,2.1,59.84,81.67,3,767773,4500
548,POINT (104.801015 19.912036),883772,80.77,38.17,85.37,14051209,19.48,847983,28.96,52.98,68,485377,35795,66.91,99.91,16.35,43.5,51.47,0,228575,16157
549,POINT (104.411918 21.889237),252323,25.08,90.78,11.36,9217176,54.84,801349,66.97,72.41,55,111427,599131,19.67,54.51,84.67,84.36,42.89,3,406660,5486
550,POINT (106.654632 11.799277),477024,52.89,90.13,31.34,14654549,46.39,430651,42.23,3.03,60,378929,782462,86.21,79.41,29.12,6.56,27.59,1,505624,11172
551,POINT (108.625002 13.315085),511246,22.29,87.25,54.22,4067150,41.46,922353,37.46,20.97,72,692519,946207,33.48,68.45,40.39,70.71,44.4,2,252901,2967
552,POINT (104.706351 20.400350),564634,63.67,39.86,68.78,14680135,36.43,673562,62.81,2.67,47,338317,288429,53.44,69.65,18.92,78.86,78.26,2,311850,24354
553,POINT (107.934894 10.809902),97723,69.92,41.61,93.59,13387469,18.99,163750,65.82,95.53,55,938108,126013,78.27,13.03,52.42,70.84,85.09,4,231170,19893
554,POINT (105.060096 9.040011),320796,50.26,55.96,52.02,5654765,84.63,532594,63.33,26.94,72,923814,244898,34.38,85.77,7.91,29.15,88.86,0,465484,15277
555,POINT (103.440178 20.880621),339788,82.11,45.18,87.87,7395594,16.0,125567,33.56,96.42,34,810698,108676,30.05,99.34,42.72,60.94,95.47,1,620760,24783
556,POINT (104.150160 21.532765),136511,20.44,2.8,52.33,10514672,87.88,659325,24.6,49.15,26,263223,459289,34.99,64.09,75.81,0.86,15.3,1,659069,22656
557,POINT (108.737853 11.320583),271147,27.3,21.78,32.9,13524942,26.27,836207,43.83,46.87,48,451243,729514,80.45,46.12,29.55,59.93,89.95,3,810059,22659
558,POINT (107.260034 16.570606),727133,98.94,48.75,62.36,5669522,55.8,992428,99.18,37.0,71,485173,850630,43.81,6.41,80.08,49.52,35.53,3,590778,9520
559,POINT (107.246739 16.536253),731399,85.08,38.97,58.9,2008914,92.39,700567,27.19,82.51,23,440885,720327,82.38,52.7,2.35,35.44,22.53,4,816545,7972
560,POINT (103.521541 22.313591),806363,66.64,85.53,15.44,14769138,43.34,815524,41.8,21.44,79,9481,259631,10.8,17.64,51.91,1.86,57.12,2,154700,17948
561,POINT (107.828594 11.079724),254794,41.81,88.91,70.61,10040092,71.06,237418,86.09,80.99,62,122458,980028,19.8,3.29,45.23,65.35,67.62,5,649456,16261
562,POINT (104.407001 19.547335),950228,8.83,29.35,14.48,8397192,45.2,420434,24.28,86.49,40,418762,369162,45.59,43.49,7.4,27.02,40.38,4,281051,19804
563,POINT (106.058687 17.736494),881451,38.58,13.8,46.61,6492828,6.76,397590,11.7,25.88,69,583385,333968,53.17,79.71,51.51,88.23,72.28,5,502370,1339
564,POINT (106.693671 11.171553),428012,60.97,37.0,99.41,9282577,76.99,277977,59.48,75.6,58,419358,541119,5.19,95.26,20.58,92.66,95.16,0,2001,10518
565,POINT (106.088742 17.500402),744819,75.64,59.83,10.29,14388433,0.24,349803,59.92,10.57,43,830804,92657,97.25,57.53,85.92,36.87,80.11,1,978327,7959
566,POINT (109.120952 13.276179),109957,17.11,58.8,72.91,3574327,19.04,772851,67.04,13.52,67,851194,126001,55.34,19.45,48.27,1.77,84.84,0,563273,17250
567,POINT (106.359816 11.003540),940643,36.44,70.88,49.24,10212033,50.51,44904,19.55,8.17,66,299227,827662,76.77,53.78,2.73,58.25,41.3,1,981650,18654
568,POINT (108.089231 12.783991),920189,35.74,25.85,76.4,11152904,97.76,992323,13.44,26.48,48,607261,148044,55.15,61.1,34.48,96.16,88.43,5,275506,12731
569,POINT (105.529041 18.472152),442680,66.43,48.3,10.71,8238455,25.83,482764,77.42,8.53,57,143703,827158,67.92,58.31,34.43,21.41,1.97,1,30572,2477
570,POINT (104.666611 10.223595),30595,55.85,66.9,5.43,7866595,42.36,354664,0.95,15.18,45,167633,460392,51.08,75.34,44.34,95.46,51.05,1,381048,17296
571,POINT (107.701840 21.553618),394700,14.62,58.38,57.65,7706547,1.39,780186,8.96,60.72,50,496567,188757,24.01,63.95,29.81,21.03,56.17,1,232185,2218
572,POINT (106.437875 17.982288),114457,95.39,85.84,14.9,14929413,37.56,268573,21.96,46.69,64,70297,201278,42.82,18.56,25.74,41.87,28.66,0,498563,21553
573,POINT (104.904286 20.907510),192837,21.49,43.77,13.83,9160949,44.5,43313,55.22,20.28,26,83310,754185,42.74,12.67,32.74,40.28,50.84,2,646475,12121
574,POINT (105.962938 22.107753),950850,26.78,12.04,74.53,6825715,99.96,568611,96.83,13.23,22,560882,25281,22.09,82.04,51.03,51.85,75.05,1,367187,13695
575,POINT (106.253375 11.217296),769593,2.66,15.07,13.43,3608757,22.62,101214,42.9,86.34,46,710351,847911,64.03,30.58,56.98,52.87,18.78,0,520318,10715
576,POINT (105.923990 18.147354),285301,35.44,97.17,95.88,4368823,11.51,821966,54.75,72.39,37,730431,183659,31.06,84.56,43.48,2.93,85.94,1,629282,21821
577,POINT (107.869600 15.791029),719812,30.75,33.68,34.45,1631550,41.53,795578,35.25,43.34,66,134791,780049,34.47,90.99,18.12,46.18,89.25,1,879973,15462
578,POINT (108.605609 12.277321),64132,87.78,40.4,46.85,13140157,41.58,980355,72.85,30.59,23,682353,744173,56.99,4.07,61.28,99.89,53.16,4,59657,3099
579,POINT (105.147550 22.072398),173986,81.35,64.56,0.3,14777642,59.59,56465,59.64,74.58,58,981541,282748,93.31,62.35,19.84,13.45,29.7,5,312452,19283
580,POINT (108.412495 15.664390),708099,80.28,36.04,73.86,10375853,41.78,738684,47.51,85.37,33,797293,208199,92.82,84.61,73.83,28.07,8.96,4,498702,2360
581,POINT (104.287956 19.660497),363901,92.29,6.11,98.65,8211858,33.49,827694,34.33,45.23,47,548489,89838,7.88,88.15,43.82,24.54,73.56,2,457841,12731
582,POINT (105.664229 19.731539),39571,9.28,53.04,66.43,13590807,83.91,59091,79.25,97.13,71,451553,302562,90.0,16.01,24.78,54.51,39.61,3,875378,19323
583,POINT (108.428055 13.575435),204311,88.81,55.58,54.17,14168496,27.25,337337,56.55,42.01,48,744990,595557,87.4,96.95,70.59,36.08,37.95,4,851786,20970
584,POINT (104.416744 21.596583),650567,74.87,4.3,91.16,8534405,86.7,296644,46.51,12.35,60,534265,395220,23.29,16.5,74.3,53.03,46.42,4,523018,2813
585,POINT (103.533857 22.185005),970163,12.07,77.41,26.91,2647398,67.54,996193,93.53,14.23,64,371922,307527,63.88,62.04,76.41,63.67,83.57,4,342863,13261
586,POINT (106.059030 22.463120),342128,75.42,2.67,54.12,12721960,80.37,870303,59.95,28.9,71,750739,493412,43.52,97.63,72.39,45.28,76.36,5,260833,22706
587,POINT (107.846679 13.878555),126570,63.93,97.22,77.44,14282438,56.43,587223,15.64,31.65,23,499173,551958,73.02,18.19,46.71,8.95,21.73,3,533823,9907
588,POINT (105.612842 9.908578),781331,31.55,5.86,97.66,14013850,90.0,21376,58.64,68.91,61,949037,117038,76.53,66.17,49.26,26.46,0.26,2,623962,12123
589,POINT (104.813066 21.507530),467640,86.09,74.37,45.17,12622497,21.45,551463,50.87,86.52,68,201067,418270,88.71,77.63,73.93,76.72,91.53,0,493214,14764
590,POINT (107.599497 14.510543),435563,42.5,82.48,45.84,13759656,64.85,330132,38.36,3.77,38,29096,943989,94.41,0.4,1.32,31.71,11.21,4,935731,23681
591,POINT (106.930541 16.955395),36590,97.66,13.33,42.81,3175715,97.26,876602,14.41,78.12,28,753453,87279,3.42,96.03,30.92,92.72,8.92,0,947874,14524
592,POINT (108.159993 14.471985),795486,65.14,91.81,31.47,10707707,25.19,275017,30.67,13.07,52,608735,208626,62.49,12.7,59.4,14.08,19.94,5,800343,23052
593,POINT (103.048629 21.684105),701465,47.04,34.24,46.81,10125855,15.69,262650,70.55,24.81,55,256391,156562,27.24,3.93,44.76,14.74,27.74,1,639226,1345
594,POINT (106.670952 21.373417),527930,16.08,77.22,44.78,13103786,8.11,532060,27.95,36.78,57,411080,242608,43.81,84.6,30.28,52.54,59.8,4,909228,22192
595,POINT (107.664236 14.103824),223868,1.52,20.18,88.39,2910330,71.96,97675,99.41,39.39,61,436843,73316,97.76,60.51,28.56,21.21,12.0,0,566893,13210
596,POINT (104.878167 9.286768),953199,72.35,78.98,35.39,14747338,34.46,585113,93.49,94.44,25,771599,415233,62.09,85.38,26.0,31.71,94.49,5,995165,4905
597,POINT (107.736408 11.812918),33691,30.47,87.16,49.55,6975031,38.85,25806,94.45,28.06,60,461972,356249,53.45,45.35,97.11,57.84,68.01,4,776095,21584
598,POINT (107.994838 15.105907),242056,3.52,96.98,2.12,10392785,74.35,620639,14.27,43.29,65,324638,368080,44.51,8.62,48.27,17.16,37.96,0,31392,15986
599,POINT (108.816080 12.001000),795222,91.2,55.1,10.97,3332474,46.39,761503,27.24,59.03,58,925530,491987,17.59,98.66,77.28,10.71,84.8,2,298013,6180
600,POINT (107.711909 16.220520),152903,66.22,28.76,3.22,4279065,54.21,294144,10.77,32.91,37,422207,51148,24.88,46.67,98.29,97.99,10.93,3,420253,8678
601,POINT (106.769068 11.767964),449175,6.41,1.48,60.75,1250235,94.2,279410,83.98,99.33,65,307487,525100,64.35,97.67,10.97,15.55,58.92,0,158324,20564
602,POINT (105.102160 20.099652),673959,92.56,90.97,87.06,7279236,4.32,948676,5.16,46.93,43,413395,141984,93.74,83.43,19.16,30.37,92.9,2,447373,2159
603,POINT (109.051325 14.115625),541953,55.21,2.21,52.82,3259868,73.32,572292,58.16,83.43,48,313921,665761,36.32,23.5,85.95,18.19,38.3,5,907328,5772
604,POINT (103.876412 21.051708),251834,53.65,24.36,24.33,13571366,28.39,888798,8.48,9.52,50,701966,575753,3.18,18.87,95.26,81.02,98.97,3,170996,24170
605,POINT (105.565986 9.170649),111437,65.38,51.51,69.24,8928574,96.88,401187,10.94,78.21,68,570213,31631,68.12,73.06,3.04,68.13,2.51,3,147757,11428
606,POINT (104.847743 22.012849),267317,81.78,71.87,61.71,12012695,96.46,384196,29.23,86.93,36,192434,766049,92.19,16.87,33.79,64.85,81.17,1,878724,8251
607,POINT (105.583910 21.373890),34717,11.54,82.98,35.06,13678474,62.02,447119,87.78,45.65,74,417715,200646,60.28,78.13,82.04,70.32,55.64,5,982536,15969
608,POINT (108.287038 13.738561),514439,25.98,72.91,51.21,6432664,40.31,207440,87.26,11.84,37,164262,946888,9.2,61.68,0.9,39.24,77.08,0,673230,5922
609,POINT (107.723702 13.936317),831278,49.93,65.24,74.19,14062401,76.6,284507,13.24,12.02,64,67579,790657,29.72,66.65,44.62,5.4,0.68,3,41157,5882
610,POINT (108.898259 15.029955),136255,12.47,44.47,0.01,13630619,62.67,78202,28.08,25.86,73,356487,939914,22.35,65.27,49.81,23.79,54.68,0,719064,7980
611,POINT (106.030154 22.920805),732455,5.78,50.78,32.77,12870849,3.83,106110,77.12,70.81,29,162630,21190,52.79,16.33,69.0,78.61,32.34,5,208424,16369
612,POINT (106.213476 21.155446),566564,14.52,50.98,42.74,4486984,29.51,472743,80.51,19.86,29,689310,176146,57.77,93.26,98.17,58.29,48.0,3,76489,23970
613,POINT (108.284341 12.039918),995805,69.53,23.96,56.55,13215614,0.07,642570,12.39,0.38,67,151271,38160,80.13,97.78,93.91,47.0,52.4,5,491589,3848
614,POINT (103.282205 21.572087),741842,62.79,32.46,27.7,4582383,12.08,477231,79.08,0.32,34,570055,5639,96.43,49.13,21.86,58.11,50.39,2,780765,19375
615,POINT (105.666043 19.092460),622119,43.03,42.8,32.58,2784579,8.34,749631,6.68,94.73,74,241637,916247,57.85,28.71,46.32,10.57,44.17,0,668242,12130
616,POINT (106.401547 10.023153),968133,11.93,30.72,68.97,5229852,41.12,29754,51.4,37.88,59,297900,454720,17.01,68.44,24.11,27.99,31.1,1,189783,17046
617,POINT (102.430466 22.427616),375283,44.55,6.57,57.2,13723904,66.15,259220,28.09,11.04,78,419489,540589,64.61,34.4,93.72,89.09,86.88,5,738572,18576
618,POINT (105.953288 20.719346),413447,21.12,89.68,35.41,1018065,56.82,839099,15.88,5.08,36,206783,614493,66.45,42.18,5.19,26.7,45.69,0,685230,8390
619,POINT (102.514057 22.590102),311054,63.99,76.82,78.48,12537799,21.31,2977,89.41,90.67,31,160023,471421,88.59,72.68,82.99,40.41,81.0,2,207831,8202
620,POINT (106.374261 20.687468),73779,46.97,84.2,78.38,8691316,72.5,801913,0.29,69.39,32,47425,13311,20.27,51.85,60.72,9.11,80.95,3,482084,3472
621,POINT (106.391451 11.632109),58149,7.28,19.58,6.83,3068498,23.93,698736,26.36,69.06,49,933666,717760,22.86,9.92,17.59,53.71,55.45,1,156458,2927
622,POINT (102.316997 22.550017),442277,99.19,57.52,30.02,11803691,77.74,746755,72.69,90.19,25,199596,803842,47.56,20.2,79.05,6.81,32.41,4,801943,10149
623,POINT (105.516130 22.393566),611640,25.54,10.76,31.36,9744658,81.5,157249,93.83,22.32,38,593980,400799,64.92,40.1,86.55,56.91,26.83,1,496987,6970
624,POINT (105.869772 18.090331),492226,1.7,2.96,81.73,9839015,90.26,244683,62.5,21.6,76,706723,596492,40.5,24.86,53.13,43.06,27.29,0,257325,20592
625,POINT (105.396992 19.234561),824250,57.34,67.4,54.75,13954630,98.4,73207,25.21,59.98,32,829087,689528,19.24,36.8,59.46,30.9,27.57,4,937578,13346
626,POINT (108.184687 12.390133),481102,42.02,3.82,99.46,5135560,99.83,175467,3.77,25.91,31,767319,856697,36.89,14.29,47.11,5.09,18.35,3,219221,8601
627,POINT (104.498007 22.465413),434676,85.82,1.31,9.02,12700544,86.91,66088,70.16,84.34,27,568426,653932,31.87,99.91,26.68,46.91,35.68,3,625924,24131
628,POINT (106.012264 21.151995),356736,90.44,23.43,55.87,8149732,29.24,288175,44.27,21.44,22,851608,809304,47.9,92.61,72.84,34.72,65.66,0,542683,6442
629,POINT (103.889607 21.253726),16946,56.7,9.49,23.86,5721081,67.42,179537,61.46,16.76,25,898143,91686,42.81,17.01,62.44,9.87,25.79,1,323853,8254
630,POINT (108.575207 13.643809),45165,25.7,21.12,40.85,8385798,0.02,119199,30.15,31.66,40,171089,82552,55.7,7.61,65.04,45.42,41.11,2,516640,5324
631,POINT (108.321474 14.644682),695590,20.11,76.92,40.28,3030342,98.92,995194,84.61,38.1,29,353718,447781,83.48,31.58,12.55,68.07,32.87,0,869515,21500
632,POINT (103.273546 21.465699),916598,2.1,3.98,79.99,2388736,18.46,583139,47.47,46.35,43,82264,316616,3.07,42.45,38.14,66.5,90.52,1,604875,21183
633,POINT (105.765518 21.586747),404838,19.56,2.05,95.67,11357871,16.74,370921,85.22,46.67,43,814864,458311,47.81,77.3,70.44,32.82,63.1,5,558605,15553
634,POINT (104.676099 19.053732),386469,2.61,89.71,75.22,10083799,4.62,54180,55.21,89.07,46,194086,891211,0.1,8.37,76.52,86.83,4.76,5,116202,9448
635,POINT (104.139149 19.627597),521323,2.38,85.67,97.71,10925131,43.66,714865,0.51,40.05,65,202037,233049,11.11,62.55,9.44,30.17,95.43,5,290897,17559
636,POINT (107.821590 15.857286),290978,83.84,88.67,86.29,6266755,88.9,349812,76.43,91.87,56,478787,273202,47.6,74.92,10.42,77.93,34.66,0,345990,20229
637,POINT (105.312190 20.104264),83392,43.39,30.76,59.71,7845672,7.71,138002,8.61,44.78,70,635182,565382,40.27,68.69,81.15,6.75,93.75,2,361246,21680
638,POINT (103.793233 22.602546),998496,24.75,47.63,10.93,13063461,4.19,802623,74.73,96.7,54,140990,406695,78.65,15.36,6.85,27.72,68.52,2,933810,8819
639,POINT (107.579424 11.249492),96344,87.36,0.35,78.42,13183921,4.22,577064,74.55,74.87,55,426301,262607,56.84,35.89,53.57,89.76,74.69,0,449570,24387
640,POINT (103.898681 21.867733),871729,11.28,49.59,92.59,8651752,4.45,844731,38.52,37.42,69,525322,569854,63.01,49.78,30.85,73.82,41.15,5,608649,6130
641,POINT (107.835217 15.776659),454508,43.8,2.2,83.44,13870566,76.64,870115,7.27,5.5,31,755484,136253,1.97,26.3,97.31,13.89,5.77,4,852176,5672
642,POINT (105.147002 20.556727),938710,77.38,2.26,58.42,3548262,88.6,70834,25.18,44.52,37,250621,449433,39.29,80.41,26.0,74.05,31.64,5,616690,23939
643,POINT (104.441736 22.052292),423091,90.64,11.89,91.17,9095559,48.18,858797,2.51,37.96,64,311973,50629,94.43,20.12,71.57,23.28,26.19,5,386045,13053
644,POINT (105.590350 9.989872),67954,66.4,24.0,88.11,10874646,55.29,887429,86.45,45.03,39,400293,509262,28.08,53.52,23.9,66.45,42.38,2,208796,23258
645,POINT (107.901934 12.831582),998222,8.85,60.56,66.97,4170225,80.29,38119,52.71,51.6,58,434936,367497,39.74,86.8,9.09,15.4,29.74,0,609213,2504
646,POINT (105.715815 10.635662),509628,91.59,37.73,2.53,13335085,15.51,31354,91.61,44.53,51,182330,480564,66.09,41.19,34.82,82.76,15.44,0,550474,18447
647,POINT (108.139759 12.930856),255847,28.12,79.42,85.96,2519195,26.43,441118,94.1,3.58,33,854050,783704,63.7,37.59,4.36,66.4,40.69,1,493748,1270
648,POINT (105.347251 23.289526),70152,55.37,45.9,65.23,5185085,1.12,833272,70.59,55.76,29,781421,303295,94.66,83.95,15.83,36.13,77.43,0,896199,1176
649,POINT (105.302090 21.792210),659745,6.52,11.76,4.43,8581186,52.7,771668,85.6,63.66,77,392796,917336,95.91,2.7,94.95,33.89,9.43,0,155891,3538
650,POINT (104.909793 21.894602),314493,39.1,15.64,44.11,4591923,43.07,421766,97.89,52.24,79,755344,462420,28.7,84.17,60.11,2.88,43.1,3,248357,20684
651,POINT (104.930407 21.448521),607669,69.8,60.83,74.83,1465870,75.33,627260,92.19,77.22,64,231348,259029,63.95,47.66,9.6,1.3,62.68,3,59452,12564
652,POINT (107.531423 11.217727),666220,5.89,20.08,30.74,7333609,70.45,379858,40.74,33.23,79,437552,867564,34.89,97.21,57.71,43.82,11.76,0,832079,16056
653,POINT (107.667613 11.500576),851049,59.02,90.14,78.93,13343708,38.04,951630,30.56,62.48,21,222879,481924,4.87,69.76,96.27,27.28,42.65,2,489014,20800
654,POINT (108.150137 14.404296),643247,70.0,74.84,27.46,12429644,42.57,789222,88.83,37.52,70,144311,931176,89.5,30.51,72.81,20.73,49.21,0,781351,10297
655,POINT (109.086599 12.579396),214087,34.13,58.17,5.33,10044384,92.85,74859,84.57,90.95,22,275697,294621,13.06,37.16,98.37,59.81,38.6,4,466566,23862
656,POINT (108.486035 15.354932),20284,6.82,91.39,10.92,7452180,79.51,856792,90.94,50.97,61,429846,434178,97.79,45.54,95.08,2.06,99.63,5,317393,21684
657,POINT (107.273509 21.487554),405910,50.84,80.31,39.1,2008794,48.79,347451,52.05,68.96,51,771714,595125,28.98,45.61,46.15,43.74,30.86,4,227518,11761
658,POINT (106.500950 22.491178),561677,14.21,71.43,39.4,13674127,63.39,120907,53.46,79.06,20,663653,14388,94.46,48.52,54.92,47.33,63.42,3,674461,19212
659,POINT (105.450760 22.807469),77971,68.82,47.4,42.9,11480365,40.31,293767,78.95,31.28,69,366497,110933,37.01,46.0,90.04,98.02,41.89,1,230568,2842
660,POINT (105.849979 22.169041),311674,78.13,35.9,65.71,5932386,62.71,825177,46.93,18.72,78,151890,759840,57.31,2.98,50.44,34.55,43.78,4,716942,3269
661,POINT (108.133905 14.474157),943941,96.56,8.95,84.27,2974782,92.8,156095,77.97,27.97,72,479052,430418,45.99,2.32,34.13,58.59,96.17,1,920865,10177
662,POINT (105.595178 10.459797),697811,55.54,56.72,32.42,3625439,41.78,98481,95.98,56.91,68,522306,30610,17.35,87.31,98.58,39.2,63.11,4,187455,8071
663,POINT (106.360883 21.363560),967991,33.54,24.66,17.17,10576331,23.66,777672,32.94,64.25,51,410016,614077,63.27,7.07,39.05,6.72,86.28,1,754119,12744
664,POINT (103.236177 21.108413),522944,17.2,99.62,45.59,4478078,2.89,40366,45.0,7.32,49,30907,606137,45.65,1.86,31.53,89.56,31.98,0,737975,13092
665,POINT (108.451425 15.166008),390658,22.15,89.14,37.18,8048097,20.7,71351,25.79,67.99,71,879927,285585,9.69,2.36,45.13,74.35,6.0,0,369900,21718
666,POINT (105.068970 9.464121),890090,32.67,26.55,91.59,12572140,76.81,822673,72.73,48.94,62,544822,833665,85.17,64.77,80.31,22.66,94.58,3,435938,20531
667,POINT (108.542725 11.586438),723073,3.82,48.66,71.55,13693206,93.68,113307,10.52,58.97,71,548031,788437,23.91,75.24,46.46,96.83,76.17,1,137783,19182
668,POINT (107.101054 10.724553),641732,92.37,64.51,96.54,11401670,93.55,613529,41.34,30.22,25,283625,43765,35.1,92.96,20.16,35.29,45.63,3,438066,18705
669,POINT (106.858106 11.938798),666320,99.43,41.94,37.75,13857100,75.29,411792,90.21,4.27,64,599050,573744,54.2,48.89,65.0,62.55,18.11,3,933566,6486
670,POINT (108.688077 12.385385),741191,73.68,6.94,69.56,6971056,11.91,750607,77.91,34.34,25,68171,8958,61.0,8.23,37.19,97.83,78.08,5,880365,22482
671,POINT (108.394777 11.269409),285891,25.03,81.21,35.38,14198072,66.57,462103,49.45,68.88,76,818876,306020,77.65,51.51,41.68,33.48,21.9,5,799821,3878
672,POINT (105.664032 20.011938),355400,14.09,38.56,61.72,3625071,46.35,736789,54.19,36.11,80,175931,862809,88.85,93.91,60.51,19.14,90.77,4,490531,6946
673,POINT (105.026886 19.623159),394442,84.34,34.54,37.62,13781988,28.4,195766,6.34,23.36,54,508741,906366,25.44,79.63,70.77,32.98,27.23,4,912732,14282
674,POINT (106.019981 10.203316),840804,98.57,45.99,48.42,4831321,83.17,77995,14.23,40.63,77,741360,819840,25.43,87.94,46.72,36.34,3.16,2,381015,8656
675,POINT (104.145851 21.346181),385387,2.56,36.97,62.98,7914100,42.52,725157,65.29,84.04,22,702108,624529,3.36,55.26,24.9,36.24,38.92,4,947590,14841
676,POINT (107.410281 11.589868),947883,24.42,2.85,30.28,10782589,49.42,946504,56.05,2.27,75,787801,887897,10.7,75.81,23.28,74.94,78.43,5,577943,8522
677,POINT (108.061129 11.845464),410796,19.6,65.72,24.65,1814449,13.52,67712,88.58,89.76,31,394672,675040,23.94,28.23,35.92,28.95,18.35,2,244254,5434
678,POINT (105.254786 10.414723),92297,14.82,31.5,60.64,1773730,20.0,433435,93.73,4.87,25,56364,852474,26.77,97.16,80.94,27.03,26.9,3,92803,6768
679,POINT (107.073615 11.992172),28598,87.53,99.07,76.19,6434811,33.38,575536,8.62,95.28,61,840060,635031,35.97,60.29,11.13,66.77,56.54,1,644673,7129
680,POINT (107.059973 11.697815),140753,43.32,46.44,69.73,13278570,32.02,186496,16.69,17.23,63,991107,537843,67.49,19.14,17.06,52.4,84.87,1,2691,15888
681,POINT (109.205810 13.770859),390896,10.47,66.19,21.09,7668561,78.69,686046,37.54,78.19,68,933810,7874,60.81,63.04,80.24,1.39,86.95,2,543402,1548
682,POINT (105.630196 18.418328),142238,67.83,45.36,39.67,6619033,29.22,275129,57.87,86.43,33,144420,538517,39.92,75.82,14.39,71.27,65.22,4,62117,7530
