id,geom,People Density,Unemployment Rate,Population,Water Access,Households,Average Age,Vehicle Ownership,Health Facilities,Literacy Rate,Mortality,Electricity Access,Birth Rate,Death Rate,Internet Access,Migration,Employment Rate,Income per Capita,Family Identity Card,Registered Residents,School Enrollment
773,POINT (139.380551 35.703913),3336,51.16,96827,75.11,173556,49,5,103661,84.58,14.72,75.42,20.22,47.56,41.17,4.91,80.82,14471846,855636,733488,10.64
774,POINT (141.141317 40.863668),21773,1.66,851905,6.93,632977,69,1,357634,15.21,69.73,80.6,47.2,2.12,60.92,1.09,1.96,5510623,359151,30832,64.41
775,POINT (137.756213 36.439019),12645,63.93,858372,73.88,420157,64,1,13174,51.71,83.38,47.26,28.0,47.38,81.66,76.98,14.35,14336966,490761,665859,77.38
776,POINT (138.527728 35.448128),9727,96.93,819693,56.77,466459,30,4,408774,94.21,80.98,75.47,63.31,78.79,18.11,64.85,59.8,2290864,837804,879763,5.89
777,POINT (130.218879 33.502083),8437,29.21,414904,21.45,704241,74,5,383621,92.39,81.06,34.3,17.64,70.75,36.03,8.84,51.77,9414113,38379,465089,28.72
778,POINT (134.133346 33.705213),16563,20.46,248085,28.65,956198,39,5,848071,18.09,31.4,16.72,8.47,32.08,18.22,98.99,53.73,6950159,545481,550321,60.37
779,POINT (144.042093 43.852188),20370,16.29,375473,61.49,667923,58,1,590998,15.08,10.93,74.62,97.95,35.33,63.42,62.73,18.07,6617612,249064,370394,93.1
780,POINT (139.221400 36.749897),7602,97.15,593149,62.5,647475,50,3,145310,45.19,82.47,38.94,12.78,34.85,40.83,9.76,45.11,3009100,804240,705841,59.29
781,POINT (140.328688 38.057741),23062,23.8,730018,89.88,600944,73,5,115453,9.6,4.88,16.45,15.09,1.05,12.42,5.85,52.99,9442195,944084,135246,96.47
782,POINT (135.512425 34.052134),7589,48.64,189883,88.91,411622,61,0,725611,1.4,94.19,88.55,60.32,72.74,43.95,65.03,19.99,7992006,830393,202659,6.9
783,POINT (135.908623 34.100571),5252,34.6,680251,76.87,348148,27,1,71224,86.3,94.3,99.01,38.96,20.58,17.01,78.76,11.5,13934325,329921,402544,68.42
784,POINT (134.121375 33.912402),13399,1.88,261395,83.01,588166,56,2,472910,41.93,88.56,23.73,17.19,76.02,46.39,73.63,34.06,6146123,3514,567943,35.93
785,POINT (142.774219 43.014214),24036,53.99,133256,97.74,85954,51,1,836568,68.39,76.29,39.71,42.15,51.1,16.78,60.85,55.88,3902222,158425,411870,71.64
786,POINT (140.280381 41.570621),3746,73.44,573130,10.89,499549,66,2,82957,57.53,69.28,72.23,90.21,37.79,59.42,19.24,0.55,6501659,820916,937429,5.77
787,POINT (136.157440 35.881828),14746,36.58,599736,98.71,900553,73,4,366297,51.18,66.9,17.41,7.72,31.71,47.93,32.53,70.39,1750699,881955,15197,2.85
788,POINT (139.946401 37.449343),19522,15.25,86158,93.2,466735,31,5,437301,24.26,95.27,60.76,76.02,26.16,16.18,94.45,11.65,9758907,873665,801177,63.46
789,POINT (141.699582 40.113461),15749,70.0,968304,0.7,405546,31,1,542270,0.81,60.35,62.52,41.36,23.04,0.61,3.07,69.08,2110100,164633,585633,21.78
790,POINT (140.591423 36.868690),5791,58.64,456333,78.02,207201,59,4,682583,22.16,9.16,98.78,84.69,90.28,38.16,59.66,59.89,10485701,625790,926967,65.4
791,POINT (134.178923 35.476447),22992,65.01,300282,44.86,662081,75,5,660379,0.23,54.69,19.97,13.4,52.53,49.77,9.37,22.54,4270893,967472,46072,55.26
792,POINT (131.062889 34.163526),16851,30.21,96565,38.16,511563,26,3,581610,34.12,29.17,47.16,50.8,36.38,31.22,63.62,35.44,7771924,764047,552509,32.57
793,POINT (140.013610 35.244630),21437,59.09,2282,71.87,990929,49,4,983938,58.36,26.66,93.14,56.78,30.12,47.16,43.49,95.0,14471886,520781,142462,63.77
794,POINT (140.082946 39.288457),3229,50.13,497719,76.87,54459,62,2,791235,21.93,6.65,82.33,4.48,67.73,11.82,75.54,63.37,13435328,552324,183799,66.15
795,POINT (140.883650 40.149725),3166,44.2,892057,19.25,194152,68,2,889347,38.21,81.57,74.09,10.8,81.84,79.11,24.97,15.61,7473622,740018,970561,90.46
796,POINT (139.189140 35.496154),22063,15.96,200392,31.38,42566,63,1,849443,11.81,37.73,85.19,79.03,60.63,94.1,99.37,24.75,13884984,772844,150345,89.19
797,POINT (142.879705 42.602439),7520,8.94,518526,88.57,980991,46,1,977318,67.78,22.24,17.28,44.97,50.43,41.84,43.71,78.47,7872143,592337,453059,31.26
798,POINT (143.702631 44.080699),1015,38.35,590365,89.38,253793,26,2,746052,3.54,88.44,46.66,21.73,96.01,11.8,54.19,56.69,11472737,741780,252498,17.13
799,POINT (135.214739 35.121406),21343,76.86,687953,14.29,358648,26,3,682655,67.09,71.69,79.0,89.08,28.46,25.8,45.89,80.39,13466519,517623,202607,41.25
800,POINT (132.565911 34.775529),20126,77.93,967467,72.9,388595,47,4,40416,19.68,56.01,15.14,42.43,80.85,96.08,45.46,77.19,10019253,699375,688195,13.4
801,POINT (141.729995 43.044189),19511,36.24,500350,86.05,137646,24,2,944553,9.28,92.67,77.23,49.1,25.8,76.76,49.31,85.2,9743179,428034,609573,67.04
802,POINT (138.963231 37.494798),15767,73.68,168200,77.83,453260,53,1,351054,43.63,60.03,97.32,80.98,72.26,64.74,57.32,82.99,11625804,297953,570989,37.97
803,POINT (138.788603 36.910624),20160,80.38,249293,48.67,321470,50,1,639064,73.9,79.62,55.18,49.77,67.25,21.73,64.34,77.21,2757588,875026,756057,64.2
804,POINT (136.822177 37.181199),9457,38.65,705795,11.48,406950,23,2,201640,79.77,26.62,56.73,46.72,73.81,57.42,40.44,54.83,12380735,164671,769365,56.13
805,POINT (130.976324 31.274152),4594,53.53,178452,86.29,570368,42,4,290474,30.65,34.61,72.61,24.34,46.72,57.31,56.7,91.31,3425395,590548,67853,77.65
806,POINT (139.797205 38.313567),18370,22.76,870711,3.07,817526,72,2,546765,26.17,25.7,72.77,11.01,20.55,55.08,98.97,57.2,8502446,441399,677483,33.67
807,POINT (140.674076 40.474651),19887,20.46,179779,60.96,969100,35,4,482625,61.42,33.33,68.7,25.14,29.68,79.35,54.18,23.48,11084446,144693,424610,30.05
808,POINT (130.830589 33.435019),2140,16.35,597805,62.12,684801,56,5,59561,87.54,62.66,99.06,64.87,70.56,29.34,23.44,93.71,12363949,77011,121557,12.27
809,POINT (132.664214 35.139739),18184,26.51,743178,12.86,708513,77,2,115728,22.01,59.52,25.89,9.06,11.45,72.41,18.48,86.67,12448810,845969,950740,7.75
810,POINT (131.017221 33.441922),21956,90.83,118253,54.89,240321,36,1,208858,98.32,75.74,41.58,94.86,17.76,16.04,27.72,95.23,3430357,528189,337511,41.82
811,POINT (138.177650 35.856057),9893,44.63,859593,94.16,635549,20,0,44728,57.76,57.15,86.98,17.03,16.75,26.65,85.44,10.04,1705576,20051,81971,51.41
812,POINT (142.865508 43.292551),18764,32.88,301755,79.55,235745,59,3,585568,55.48,73.55,38.21,72.39,45.53,82.85,21.13,36.76,9430295,373141,758900,8.44
813,POINT (140.348476 37.971415),2334,18.84,193745,76.48,487531,66,5,176326,35.16,66.81,93.41,80.23,24.24,52.85,96.4,24.82,8358890,82602,806899,76.29
814,POINT (132.012297 34.122069),5659,33.34,917264,28.94,138650,63,3,493863,33.81,31.5,13.31,90.64,43.68,92.44,11.83,26.77,14724179,806119,256254,58.28
815,POINT (130.787951 33.309916),13990,52.22,244318,95.05,433761,41,0,506614,16.59,23.32,55.17,99.62,50.68,70.41,63.0,7.05,1440315,502701,982639,37.73
816,POINT (131.232684 32.453495),18744,78.72,408604,15.35,886954,75,1,157772,61.13,53.83,34.67,26.57,98.11,46.77,38.28,69.02,2434553,689046,427293,62.66
817,POINT (144.539156 43.068510),7718,11.43,411885,96.64,423093,59,2,704650,25.9,27.76,33.75,56.92,16.96,59.82,60.01,12.14,4593279,263254,588914,2.13
818,POINT (141.723608 44.379185),12025,51.99,33760,35.71,297209,40,4,491233,35.16,86.64,80.18,53.69,9.02,12.9,75.78,49.38,5421681,778096,483465,39.34
819,POINT (140.660125 38.561800),2023,39.72,373422,31.1,275640,74,3,162926,19.15,31.11,79.72,50.33,32.72,17.55,89.94,83.42,6825377,656981,665997,22.33
820,POINT (130.952691 32.383926),5076,31.88,470899,86.83,22316,64,0,328892,91.16,90.75,15.86,44.03,16.81,56.94,76.94,72.54,5041112,184433,943634,16.15
821,POINT (133.586849 35.118975),11225,66.79,628409,81.62,696453,31,4,731133,95.47,46.67,33.8,31.41,15.22,59.3,16.56,89.34,13586998,253474,836876,53.84
822,POINT (143.384821 43.431990),3603,83.89,358401,25.92,833153,22,2,122027,18.16,86.31,8.97,35.44,56.5,78.93,10.02,82.48,1577018,476170,52393,14.32
823,POINT (139.878610 36.433376),11127,19.32,649129,27.58,830558,36,0,73181,84.43,64.22,34.44,71.25,84.06,89.8,3.33,78.6,12432368,936040,732505,58.29
824,POINT (140.304805 36.513631),8943,51.85,38586,94.31,396699,62,5,412707,59.43,33.78,50.13,89.42,80.99,62.9,38.49,78.14,13825794,210842,194217,53.16
825,POINT (139.164409 37.024494),6977,66.12,769739,47.61,605966,48,5,529697,21.43,42.29,29.52,50.79,23.82,32.19,28.63,21.95,1239097,390064,920881,65.24
826,POINT (140.324398 42.065889),5751,20.84,133082,19.43,141934,64,0,401514,41.72,43.07,18.11,42.61,11.52,75.67,30.22,77.53,1905776,53178,45047,38.52
827,POINT (137.981427 37.067907),16655,66.72,249496,78.32,39440,45,4,79318,35.9,59.6,87.48,87.04,31.1,91.77,65.8,46.7,11207878,829760,175674,63.43
828,POINT (142.155067 44.754083),23912,66.42,852259,6.9,638308,68,5,598211,50.85,79.98,95.62,44.64,27.59,87.15,74.16,81.11,7528721,156198,273416,15.47
829,POINT (139.526452 37.456290),7988,84.78,642819,59.07,772704,80,2,969938,36.14,67.53,37.32,85.05,94.98,24.05,45.69,66.51,7739918,33738,410125,55.65
830,POINT (131.800388 32.871336),21415,8.56,783743,85.15,730324,51,5,816094,33.22,50.62,84.36,63.35,50.58,13.61,79.32,25.53,11675360,172278,313676,37.22
831,POINT (139.911402 35.363739),4646,65.85,22482,2.23,46656,43,2,321479,20.74,3.47,17.61,98.55,43.44,52.44,88.92,30.46,10522107,804654,188566,63.2
832,POINT (140.879159 38.823586),24191,92.37,673774,27.66,4072,24,5,69975,6.81,77.84,44.09,34.54,26.68,11.54,5.19,74.37,2780916,904038,287723,31.08
833,POINT (137.922575 34.876766),9138,90.95,936732,63.35,43963,54,0,170774,24.76,79.05,27.44,44.82,65.63,53.26,7.06,61.98,12746271,25311,379558,22.14
834,POINT (145.042409 43.530772),23294,78.77,3146,64.25,496165,30,3,402913,51.98,64.1,5.16,85.51,28.34,5.87,14.13,49.33,14897410,559074,579810,49.28
835,POINT (140.060761 38.468666),22716,15.58,840420,23.68,706830,39,2,427086,6.76,51.73,91.27,84.26,61.77,29.77,64.1,78.71,5874402,640406,711713,31.15
836,POINT (137.135487 35.486686),15295,50.5,780633,14.54,76156,77,3,890018,36.41,57.13,18.75,14.27,34.05,32.26,40.01,65.03,5845848,457428,591654,80.24
837,POINT (139.936981 37.045544),4766,6.78,283610,48.3,525675,71,2,257608,20.86,82.3,98.75,60.69,64.21,46.81,39.5,5.61,14951717,543278,149756,74.2
838,POINT (141.050924 39.049691),5505,84.98,782425,64.62,138927,75,4,803185,84.6,40.74,29.9,27.74,80.61,16.87,53.24,61.15,7001213,394446,366632,99.38
839,POINT (136.066175 35.409091),6795,89.76,456597,92.33,597516,31,2,585697,22.93,2.65,43.77,77.42,54.02,73.4,73.42,25.88,10255747,501143,486501,18.24
840,POINT (140.647971 41.867658),6902,47.03,627258,67.61,765158,75,4,847134,9.46,46.73,26.09,0.14,98.83,68.26,82.92,7.06,9500671,685608,216718,95.12
841,POINT (133.899750 35.233737),2628,31.24,624824,3.51,846360,22,4,714586,86.62,3.0,8.88,19.2,61.9,32.95,63.73,39.3,11475851,34526,567150,86.31
842,POINT (140.121611 39.428722),14440,1.66,275024,6.98,104918,33,1,91001,19.1,31.31,99.15,31.58,41.41,20.7,77.09,49.46,8823553,720105,853178,54.6
843,POINT (129.991264 33.307065),18413,81.52,123544,1.48,6943,22,3,294388,85.37,20.35,3.16,8.76,35.33,92.69,36.95,15.89,13148776,717024,883637,12.26
844,POINT (130.035857 32.217510),12012,39.12,376580,71.71,447584,21,4,620903,11.73,93.33,63.54,77.24,51.05,22.62,93.78,10.03,7019679,803719,83157,19.55
845,POINT (130.670097 33.722183),22205,87.45,706511,74.82,945783,36,1,327237,35.73,10.92,44.78,81.03,66.28,97.44,35.72,7.07,5402326,881200,218531,57.64
846,POINT (134.172870 34.882226),15718,85.51,93156,51.57,211240,57,1,16476,77.73,39.93,68.26,41.85,77.12,85.78,92.37,8.04,7816606,235624,574233,33.34
847,POINT (139.895189 34.964577),2546,30.18,92190,99.51,128963,47,4,370357,15.53,89.71,96.84,55.18,6.07,83.38,43.5,50.9,13781331,411380,44159,99.0
848,POINT (136.146474 34.033163),10557,76.01,969154,77.94,226982,49,3,64660,44.0,95.4,6.11,16.5,39.34,3.5,35.9,61.43,3033056,720177,116500,63.76
849,POINT (141.367061 40.661062),17706,98.32,398998,65.75,410094,60,4,60133,54.4,67.88,78.9,61.18,91.13,65.01,6.09,99.1,10267135,160066,135511,6.0
850,POINT (141.017157 38.678800),5061,59.47,556480,52.8,216447,76,5,104735,44.04,11.77,29.57,43.7,75.57,19.01,35.01,95.48,7971028,762502,628060,86.9
851,POINT (135.621624 35.001832),19875,48.63,713330,90.81,386474,77,5,212975,71.9,46.19,93.56,52.84,63.45,52.15,79.84,26.08,5229612,374398,39579,94.33
852,POINT (139.841349 38.950150),14144,56.14,707475,87.8,209129,76,3,725621,48.67,31.65,17.87,40.59,15.04,15.39,48.47,62.63,14696839,459966,369508,74.68
853,POINT (140.663283 39.259698),6574,2.67,165270,61.04,32570,69,5,677228,70.52,16.35,21.27,88.38,65.03,84.53,43.67,63.38,6159976,848326,958461,1.3
854,POINT (139.303648 36.790877),22794,30.63,928355,57.58,532870,49,3,499679,58.86,45.35,37.18,61.81,12.11,25.84,43.49,36.42,4196601,184497,721029,55.55
855,POINT (138.333554 37.945694),19089,51.15,9114,79.46,393146,58,4,319459,64.23,3.09,96.16,52.6,71.41,47.35,66.25,56.99,7176638,886424,951851,83.98
856,POINT (131.244224 32.982371),24435,76.0,548495,38.39,965062,37,2,260462,13.74,26.18,47.1,49.41,13.16,30.38,41.73,61.73,2174297,263190,882477,13.09
857,POINT (132.537272 35.145533),12755,51.26,745524,59.54,547071,52,0,29088,39.94,7.23,1.84,86.38,99.67,34.95,51.61,52.6,10981515,268783,156345,73.91
858,POINT (140.110462 39.191716),22056,23.5,597409,99.24,908132,77,0,739827,68.31,34.85,12.3,36.52,87.6,39.79,66.21,81.31,1637910,112852,680773,64.52
859,POINT (134.136310 33.421911),8392,16.28,48037,20.64,570058,48,3,902825,46.63,61.4,90.65,79.8,97.74,41.49,40.2,45.75,14468543,947282,453188,4.06
860,POINT (136.190606 34.078356),18699,83.4,151298,69.77,816978,79,2,190344,50.77,41.31,91.84,32.11,65.19,2.71,29.55,78.65,8365002,992928,489252,78.33
861,POINT (131.265468 34.074121),7491,88.04,701794,15.86,540318,37,4,794654,1.37,20.19,46.8,55.72,75.9,3.89,71.51,96.93,1564771,12486,763217,24.21
862,POINT (141.030654 38.407318),6182,87.94,402744,44.46,406180,36,0,496613,42.85,36.02,89.04,17.87,41.06,72.89,5.82,29.62,8706633,78244,423961,86.31
863,POINT (143.138785 43.150925),7050,23.25,188819,6.26,110704,56,3,576721,67.07,19.72,1.49,3.03,33.39,6.25,85.57,27.18,13886920,560100,102481,58.63
864,POINT (137.978957 35.294675),12044,55.35,514567,9.12,419555,74,5,1183,53.22,96.62,72.77,98.88,68.78,3.52,51.43,98.42,1830856,265853,272273,67.02
865,POINT (143.075651 43.069386),23364,46.52,859328,51.56,364890,67,5,837790,50.71,25.0,29.07,61.35,76.77,11.07,2.05,78.37,1810010,713444,29861,14.25
866,POINT (131.443055 31.961667),15897,9.91,646600,44.08,3975,39,1,681151,14.38,71.26,56.6,97.39,65.96,86.73,70.05,17.76,7773293,502835,737057,40.7
867,POINT (132.060096 34.394044),8153,93.25,318230,3.28,1396,27,3,46864,63.44,41.75,22.33,47.87,38.18,84.77,9.27,50.6,8994865,159180,858105,90.67
868,POINT (132.867593 34.775289),21032,57.83,107181,7.11,887325,39,4,878648,92.21,30.9,86.59,8.22,89.3,93.62,60.1,65.95,2207581,235757,870703,97.21
869,POINT (140.946624 42.579629),12834,86.69,362785,85.43,871974,45,4,402538,25.88,44.93,90.53,72.37,91.63,83.54,44.36,64.44,11050741,454072,389687,14.43
870,POINT (132.346345 34.750149),10925,34.87,503441,20.8,576532,44,1,224542,10.37,12.56,86.06,59.47,77.61,70.25,43.97,99.69,11331604,224716,731910,65.93
871,POINT (144.426865 43.720652),2271,70.84,739701,12.08,386806,58,2,791458,98.47,50.25,21.29,81.1,58.32,76.96,94.64,34.33,11828460,622927,886151,98.71
872,POINT (130.311014 31.410393),22843,60.68,591107,21.95,879871,70,2,460675,1.72,5.33,23.56,84.65,1.36,32.15,79.02,54.04,1699979,972990,298742,77.59
873,POINT (139.060282 36.943325),23166,56.64,663890,81.9,342288,53,5,390650,31.96,1.38,32.43,13.22,17.42,4.98,58.79,11.94,1864972,668571,984603,43.59
874,POINT (137.566450 36.710098),15300,15.42,11366,86.01,67056,65,4,95406,70.72,73.7,70.05,86.92,56.34,22.73,84.64,2.94,10623831,991805,599919,13.45
875,POINT (141.583398 43.314008),22678,82.62,593156,12.17,156069,59,1,32149,64.3,75.98,34.71,41.39,83.8,4.82,90.04,22.71,13312247,544340,40775,35.02
876,POINT (131.294703 34.074303),18983,51.08,315702,4.81,874850,27,2,657188,36.79,83.37,60.32,65.0,94.24,26.05,80.62,86.25,9827819,602574,104594,46.26
877,POINT (137.802495 36.520510),19933,74.76,891285,95.93,280110,71,2,923463,71.75,39.19,7.55,98.31,28.71,66.53,5.16,72.45,10050694,379952,900589,21.27
878,POINT (140.784380 38.917722),23004,21.17,919754,9.5,756575,31,1,413841,72.52,87.92,5.45,49.17,5.27,28.4,1.84,96.25,13797347,974698,934808,5.04
879,POINT (132.948436 33.505758),17112,41.72,727411,51.53,146611,43,5,148894,73.24,46.77,82.4,63.86,4.94,35.97,24.64,67.55,12505442,862492,423352,73.99
880,POINT (142.638094 43.153247),1869,29.8,538728,31.37,82279,67,4,796350,10.15,59.69,78.38,20.81,54.08,29.71,68.8,19.5,4756281,99693,10452,77.69
881,POINT (143.325451 43.635434),9538,18.64,399747,82.84,769849,38,3,952733,98.58,6.99,46.73,32.91,71.31,12.23,12.26,76.87,8519442,440889,543021,78.73
882,POINT (133.787353 35.244568),18049,3.95,940138,58.08,731854,39,3,733761,11.37,5.74,7.16,19.17,91.47,13.73,55.45,27.76,12190984,304306,629009,72.17
883,POINT (140.958400 39.847023),3151,26.37,805086,7.83,817510,26,0,243790,22.65,30.04,37.96,60.67,50.53,31.63,56.34,36.58,6114947,765266,566966,70.05
884,POINT (138.621391 35.688595),21719,12.04,283972,42.21,781375,36,4,929422,1.72,93.09,58.94,36.58,33.63,17.9,98.82,56.94,7261827,629179,602078,36.95
885,POINT (142.060961 43.504080),8616,39.04,17080,13.44,431432,73,0,94608,59.4,70.97,6.03,41.64,29.11,4.72,4.37,51.32,6015101,217329,40777,24.78
886,POINT (127.971767 26.562029),6613,31.97,750562,75.21,220291,63,1,573071,8.98,17.67,93.93,14.76,24.89,71.47,73.16,37.66,5727448,126100,564122,94.1
887,POINT (140.311645 39.871444),6176,39.36,858167,70.18,427415,65,1,57866,99.84,36.05,34.28,6.97,77.9,95.98,92.58,5.98,3024046,496501,456859,68.17
888,POINT (139.432965 42.198920),14453,96.61,753008,2.88,103300,76,2,56764,9.16,96.19,86.17,87.15,17.94,34.29,77.52,80.55,7436824,558347,1492,68.83
889,POINT (134.836725 34.264521),13153,43.02,772706,14.07,212070,27,3,74618,25.8,36.59,43.81,63.63,79.15,85.76,89.49,42.92,12277855,16972,491776,55.52
890,POINT (141.792374 43.628061),21322,69.91,766211,9.43,791563,34,3,80885,39.27,29.76,88.63,29.27,33.42,49.81,64.33,81.44,7656374,924071,750059,73.52
891,POINT (144.892921 43.978528),16993,65.57,601093,41.9,734258,33,4,690036,0.69,85.11,84.74,17.49,18.41,64.86,83.02,29.96,5131512,563752,42474,22.13
892,POINT (137.638010 36.224175),21152,97.97,649857,48.74,831862,68,2,78191,23.09,28.18,3.31,99.32,45.67,50.57,11.41,63.73,7805595,721236,785853,59.73
893,POINT (145.082152 43.486307),7971,42.32,442360,51.31,454477,74,4,996142,95.88,63.48,38.49,43.44,60.26,9.8,5.15,70.23,13692520,58085,689903,20.17
894,POINT (140.859863 37.439588),18739,69.42,761145,17.47,258298,75,0,879621,16.37,47.29,18.88,10.71,32.41,96.01,29.47,58.65,4839411,407707,673111,30.45
895,POINT (135.246759 35.704116),15759,17.57,133788,58.35,156262,30,3,727694,66.49,30.93,53.06,59.87,58.87,71.03,83.63,40.57,6398622,873126,420945,13.25
896,POINT (135.698677 33.901945),8960,65.11,275949,50.86,175931,33,2,453477,47.42,70.38,5.68,89.04,86.06,31.58,46.41,37.42,9410303,483994,467750,30.44
897,POINT (132.851675 33.782757),11346,21.31,834342,46.84,259262,50,5,350770,92.37,14.79,23.64,95.99,70.75,40.41,64.75,66.62,8141628,231345,380718,54.45
898,POINT (132.374739 34.684505),14855,76.92,585378,74.14,568473,65,1,284474,11.23,45.41,33.06,23.52,94.83,79.41,15.49,28.18,3868878,466912,969071,51.53
899,POINT (134.652253 35.208838),2215,22.63,534182,22.91,593539,48,3,534126,83.08,57.19,85.16,90.26,94.58,8.45,52.17,91.94,4474700,213488,149414,79.26
900,POINT (139.845892 38.757171),7626,57.82,817738,23.81,448619,80,3,299057,35.27,87.8,5.76,61.46,11.72,57.81,2.6,1.4,4103093,915908,849818,99.99
901,POINT (144.237930 43.661292),24338,81.21,615195,78.99,843427,57,4,933524,32.81,34.27,74.43,47.1,70.52,85.0,38.73,77.28,8825725,145036,71232,9.29
902,POINT (132.142709 34.841128),9577,77.23,819540,18.5,573200,38,2,351511,36.71,4.54,3.09,99.68,74.6,57.24,85.06,83.5,11262026,470897,410745,12.72
903,POINT (144.383031 43.370627),12242,33.15,668621,60.04,517952,51,2,216248,52.56,26.78,39.21,86.06,18.03,7.21,74.63,21.18,5604997,63866,899133,50.82
904,POINT (139.356338 35.935813),14342,42.25,205112,50.67,472132,22,0,676778,62.33,87.81,74.22,21.32,29.82,55.11,94.0,56.34,10061900,421444,224554,2.08
905,POINT (138.990391 37.718904),4497,60.13,426749,53.56,160800,28,1,172164,36.97,37.26,91.65,99.31,87.36,11.14,4.32,85.45,5797488,441720,204615,0.72
906,POINT (140.033787 39.918274),23327,10.69,194507,53.62,885699,64,1,451237,43.31,44.36,22.29,89.03,64.75,14.58,54.06,33.69,5249357,411057,457529,75.16
907,POINT (139.791685 36.240032),16988,63.85,435876,58.47,338653,56,3,962194,85.62,42.23,15.94,69.6,2.12,99.59,70.94,59.34,13601956,136229,637880,65.88
908,POINT (136.652669 34.973868),24622,60.59,871487,2.5,978792,49,1,716289,93.84,6.19,40.36,50.03,62.97,68.28,43.52,35.9,7701119,368367,60669,94.71
909,POINT (141.741450 43.449109),3292,59.42,541866,21.6,45103,50,0,804351,69.12,88.64,56.41,26.02,83.61,67.66,36.16,35.19,12590994,759949,229302,74.16
910,POINT (141.899307 45.109935),2813,90.44,459836,9.17,296774,72,1,539163,83.0,8.33,20.35,7.19,45.81,80.1,17.19,49.87,13098822,278149,630103,62.48
911,POINT (141.415544 43.021144),22729,14.8,679082,26.14,329848,52,0,815439,68.49,42.74,64.93,87.07,86.92,57.74,34.94,67.99,12434544,737992,981525,23.71
912,POINT (130.937988 33.176872),17722,82.7,750305,1.99,945122,26,3,700553,6.67,85.56,24.97,72.37,16.2,15.9,90.43,51.98,13799487,626464,804364,5.27
913,POINT (138.216585 36.007186),17892,59.22,25456,25.9,884611,77,5,586862,53.95,31.23,23.17,41.29,70.38,9.33,72.66,98.48,12957242,948317,550510,45.17
914,POINT (144.111218 42.999932),15873,64.17,160224,10.04,306850,52,4,112478,50.65,0.15,91.13,26.56,23.93,20.46,12.46,33.51,10559970,639050,139400,0.62
915,POINT (141.418060 39.870044),22511,55.78,212347,19.75,267393,75,3,644527,12.37,95.74,99.45,46.74,30.02,85.08,66.76,48.89,3428178,822387,766864,54.84
916,POINT (142.226224 45.057967),5003,75.93,15064,98.92,437057,56,3,360361,42.68,86.22,86.26,36.25,95.54,20.64,30.43,6.73,12440892,131721,135655,18.08
917,POINT (136.840702 37.294927),10144,86.93,275091,24.39,292547,73,3,419372,88.87,2.23,59.65,16.96,60.7,27.82,83.83,6.54,2125762,36534,667315,65.21
918,POINT (139.659906 37.140971),7033,55.92,729735,82.05,222122,46,2,393810,69.41,29.69,37.23,5.52,36.6,31.99,60.37,50.58,2973358,414284,938164,25.54
919,POINT (141.282111 38.608604),19633,89.84,752869,95.56,929807,44,2,694535,62.61,84.93,25.7,53.71,66.34,37.81,15.74,27.43,5562645,855144,592182,73.71
920,POINT (139.871475 35.002104),9318,44.9,603209,1.5,788053,62,2,352054,54.91,64.53,44.52,22.6,45.51,66.86,72.41,91.17,1678539,764092,477543,28.42
921,POINT (136.536530 35.438423),21181,43.1,869304,68.08,620045,21,4,695303,8.0,90.21,97.59,78.06,38.37,5.36,74.16,0.18,7472583,759594,746851,4.33
922,POINT (141.282644 40.529797),17796,33.11,571479,78.89,875742,35,2,785095,95.32,78.42,18.23,39.76,16.48,50.24,44.74,90.93,8157881,729504,334030,77.66
923,POINT (140.139046 37.911915),14791,25.11,428434,87.55,95553,62,3,265258,96.52,25.98,42.27,70.82,44.78,19.21,53.54,90.74,4190644,395331,368631,65.09
924,POINT (140.618628 42.020622),1465,3.41,330995,74.41,672836,65,0,923751,66.44,23.6,73.25,10.21,79.25,67.61,19.74,59.23,2312131,876358,643036,2.64
925,POINT (138.059397 36.661809),8172,29.48,307231,98.94,367054,35,5,595146,26.29,9.53,12.16,20.82,77.76,48.46,90.44,46.7,11963757,180945,703094,82.16
926,POINT (138.478856 37.206119),23656,70.77,603678,79.09,108020,75,4,999984,30.02,34.73,7.16,34.63,30.57,74.11,56.72,82.63,10257882,22213,776490,42.65
927,POINT (140.362268 41.947718),11864,48.65,872166,71.99,447052,24,3,390408,6.24,61.62,53.11,75.44,42.53,20.46,36.1,82.49,14352019,148364,889898,59.13
928,POINT (140.019601 37.497734),9136,29.42,785940,60.86,111093,61,4,639564,87.05,9.5,23.93,63.9,8.78,90.37,8.67,75.48,3734457,105697,398364,49.87
929,POINT (139.804440 38.466291),17202,22.61,853549,12.29,618979,67,3,663179,8.94,16.24,41.55,7.39,17.79,68.55,37.41,92.91,12155184,581334,626912,65.57
930,POINT (138.170520 35.409904),2565,0.3,176414,82.23,519680,34,2,669164,0.35,4.43,35.21,95.63,81.36,49.39,46.35,19.89,11448674,689381,592337,35.6
931,POINT (137.946710 36.400011),9276,71.6,569467,77.06,217734,36,1,725600,88.61,63.71,47.54,6.29,31.38,52.04,15.68,34.54,6969540,234845,849637,14.55
932,POINT (137.597086 35.496532),7213,97.39,600673,39.2,346397,24,2,509371,3.58,71.75,97.7,57.25,61.85,85.03,62.79,58.01,11176045,813546,102571,60.18
933,POINT (131.294506 33.294678),11021,54.02,606510,51.36,121116,62,0,421013,30.49,75.3,0.72,59.76,10.08,84.18,21.21,39.42,6970739,895558,840334,51.66
