id,geom,Income per Capita,Internet Access,Migration,Health Facilities,Literacy Rate,Death Rate,Registered Residents,Unemployment Rate,Vehicle Ownership,People Density,Households,Family Identity Card,Average Age,Water Access,Employment Rate,Population,Electricity Access,Mortality,Birth Rate,School Enrollment
394,POINT (127.874770 0.667715),7040043,76.74,34.97,952676,47.76,91.82,661627,35.9,3,16710,411505,954501,79,44.58,13.78,576931,7.72,37.21,58.47,38.91
395,POINT (104.149940 -1.900059),1197769,98.39,13.83,955325,88.81,28.89,814386,29.09,4,2951,662638,597799,43,50.97,13.61,271665,22.36,7.4,19.45,48.34
396,POINT (99.265078 1.308443),7930630,76.69,85.67,981559,28.78,23.9,468489,4.48,5,22657,364302,832438,77,22.7,86.67,718207,32.8,12.15,15.57,92.69
397,POINT (102.789968 -4.010013),13605764,69.68,63.39,454527,12.8,43.33,183462,80.02,4,22329,937317,304951,40,72.57,19.07,583982,97.36,21.48,37.72,19.76
398,POINT (128.183288 -8.282260),6316555,70.46,74.63,877726,64.34,15.56,906534,23.63,0,7201,108104,909235,38,44.21,27.3,204028,86.01,99.94,64.87,1.71
399,POINT (104.373576 -1.168064),7205976,38.11,89.52,834935,3.46,66.36,222458,10.8,3,6237,819772,288397,71,68.69,53.24,809367,75.75,36.88,42.91,2.62
400,POINT (113.236050 -1.601804),14551926,77.92,68.07,491608,25.22,4.35,374984,20.54,1,22290,635716,783179,65,80.1,73.48,771991,12.66,93.45,94.02,81.16
401,POINT (117.033457 3.257183),4500102,39.11,56.53,307118,91.94,52.45,580964,97.92,3,11683,430536,339263,44,94.3,83.51,61721,38.39,59.47,45.04,90.34
402,POINT (119.893204 -1.681812),7035927,22.45,95.39,229412,94.34,20.32,994251,97.55,0,19708,977596,730588,78,41.95,30.34,634065,87.14,17.56,41.09,86.44
403,POINT (102.628278 -2.791971),14470226,95.11,38.81,29091,27.34,6.18,59944,13.8,2,22898,390382,667598,51,60.44,31.33,979122,64.13,58.42,2.27,38.5
404,POINT (99.469976 0.554507),2677551,51.72,83.67,727033,8.84,48.77,966625,75.38,1,24771,289899,961048,48,52.75,38.27,415295,56.59,78.22,89.34,2.12
405,POINT (105.036847 -4.265844),14480396,5.38,6.06,169933,17.01,74.78,123535,27.5,4,17334,191629,35173,34,10.88,1.52,55566,5.48,16.06,43.45,79.13
406,POINT (95.406987 5.270799),6341818,95.44,92.76,972686,23.39,39.88,790201,51.93,4,14923,448382,771864,35,73.48,18.95,772691,84.83,65.08,39.4,24.75
407,POINT (119.834747 -1.285415),11423263,1.09,14.55,631460,25.34,49.08,938950,37.11,4,2162,895228,469865,58,14.24,4.62,960425,36.37,38.65,59.32,59.43
408,POINT (140.548668 -2.514486),4340700,85.53,22.27,180506,31.94,28.33,372749,82.41,0,18739,856663,922208,38,10.73,18.22,974597,42.9,32.36,61.4,74.05
409,POINT (121.142650 -8.624449),6838445,57.93,96.87,929966,96.71,70.1,305847,49.27,0,4528,963122,950927,25,63.28,21.83,226707,91.84,45.48,68.56,40.41
410,POINT (131.402250 -0.903940),5360529,25.95,82.4,582420,3.25,92.53,110930,68.29,2,6998,876745,137751,48,19.02,58.88,256109,79.74,76.44,63.14,79.51
411,POINT (137.644777 -1.558757),7669774,53.81,1.64,841111,16.8,61.32,369506,5.86,2,19313,291451,483195,67,5.89,92.64,381370,27.73,77.1,47.62,1.04
412,POINT (137.395268 -3.428594),5836313,11.5,70.69,265370,31.0,1.04,243647,55.21,3,21537,984791,196266,58,95.48,38.92,429938,71.96,14.05,79.13,26.51
413,POINT (111.678098 -7.011716),2574597,24.73,54.68,933050,22.11,78.79,386695,63.75,3,15102,639224,753177,35,74.12,30.86,932978,82.74,58.46,21.27,82.86
414,POINT (112.967021 1.069047),9006075,65.22,43.57,545475,79.71,49.29,815645,35.16,2,9979,953826,786389,41,57.14,25.48,348982,10.83,88.66,31.88,13.96
415,POINT (112.189565 -3.184250),12838962,91.28,45.86,246740,0.62,99.98,378881,94.3,2,13688,544222,981597,32,7.89,63.34,687158,59.35,88.87,1.13,52.45
416,POINT (110.216283 0.069098),13923125,50.54,72.54,313924,96.37,36.84,794539,97.74,2,11961,659432,797676,55,48.88,62.74,498976,64.9,99.68,57.13,71.49
417,POINT (140.271938 -4.406992),1052169,60.56,42.78,968533,49.28,94.55,502259,86.02,3,1132,467584,698429,25,96.52,61.83,453747,70.92,12.32,75.88,23.7
418,POINT (138.148107 -5.057669),6990361,54.64,75.48,184541,57.62,34.77,581082,85.98,4,2586,265590,418689,55,92.65,39.68,916397,47.46,84.46,36.27,31.01
419,POINT (116.510129 -2.536662),3641409,62.8,37.23,931519,56.51,49.45,750820,58.49,0,12250,815502,81746,30,43.9,44.25,501069,17.87,13.16,60.73,35.1
420,POINT (102.391131 0.827752),3121921,3.8,48.75,478098,78.44,1.45,949234,60.24,0,12059,873769,363496,28,98.73,33.27,155434,69.26,79.13,25.07,77.49
421,POINT (112.314780 -0.475115),13572691,99.8,76.26,281042,36.64,62.55,423325,21.23,4,19195,183882,96124,22,97.14,58.69,372418,87.79,38.23,11.74,42.13
422,POINT (123.146619 -0.616210),14555983,28.77,49.21,656018,44.61,94.31,55271,37.39,0,14081,10480,828279,38,20.21,75.93,678359,96.29,50.22,62.34,9.33
423,POINT (116.797515 0.895852),3081422,7.34,41.3,681485,70.24,78.34,682266,16.67,0,14125,535486,310074,69,3.97,29.75,572335,13.01,87.39,34.39,0.13
424,POINT (96.275681 4.567577),13089906,54.96,97.7,222566,58.17,87.78,220356,20.56,0,23493,612258,340055,44,0.29,68.89,262116,25.74,62.85,46.24,88.92
425,POINT (99.804515 2.751777),8388861,93.25,80.36,208524,46.36,12.68,945713,59.86,5,1446,469295,20150,50,62.91,13.34,835334,61.15,82.03,23.53,16.85
426,POINT (112.638891 -0.621013),14196455,23.79,69.95,870833,79.38,58.11,483701,62.43,0,5672,29043,719021,70,23.02,8.91,445319,40.7,12.92,70.56,1.83
427,POINT (132.034943 -1.728610),5719607,1.48,78.47,83771,84.93,67.86,199169,95.78,3,20704,687956,183968,22,68.1,87.43,580293,74.85,48.87,79.78,51.57
428,POINT (98.995980 2.140632),10808720,48.13,44.98,349440,67.01,40.22,348166,53.21,1,23840,532819,271273,73,13.22,8.66,163101,88.78,10.45,79.06,15.05
429,POINT (116.925906 1.533086),8163209,20.55,80.13,790107,91.4,3.03,747748,22.87,1,6411,428267,29217,30,32.03,93.43,322671,41.03,48.28,74.92,23.19
430,POINT (115.207765 1.247920),11501455,63.6,4.62,578248,13.0,81.14,334137,55.61,2,3057,673607,266550,33,31.15,32.74,351262,62.11,51.76,24.89,48.41
431,POINT (124.468147 -9.973478),5982681,38.65,13.12,340031,84.11,93.01,143925,24.54,4,21592,711686,722350,45,75.26,96.68,137427,84.54,57.69,86.89,57.75
432,POINT (102.583721 -1.461478),10555862,89.4,26.59,914075,86.57,35.21,550021,4.18,1,15499,405244,40052,68,6.03,47.62,853889,13.87,22.65,57.59,11.52
433,POINT (123.051444 -5.242692),2821311,95.44,43.83,759850,54.34,78.81,209220,50.09,1,16709,419161,271593,63,82.78,19.24,576196,38.47,88.26,46.17,65.18
434,POINT (103.964649 -1.083165),5904715,22.58,83.47,25591,97.73,84.48,923113,15.71,3,1194,154631,186725,30,1.34,16.95,610435,8.42,86.93,35.91,2.68
435,POINT (113.443575 -2.417996),9830561,35.69,57.84,778393,53.91,40.88,827858,15.13,5,4552,592211,673701,46,65.38,9.65,980474,2.95,68.82,99.39,73.0
436,POINT (134.089312 -1.243718),7286044,15.69,93.99,509332,2.14,0.06,77098,81.96,3,21339,51846,676765,29,75.45,30.89,284300,18.04,83.92,1.05,85.67
437,POINT (133.282283 -0.673403),7534218,24.67,67.75,540906,90.38,12.21,396871,53.2,4,4262,163119,961438,49,2.99,81.76,100368,0.71,89.93,88.62,58.54
438,POINT (116.536148 -2.233877),14339179,58.91,98.24,159867,38.63,6.7,954024,53.35,5,17327,546001,333911,49,12.84,31.71,851298,90.04,69.1,84.16,38.57
439,POINT (102.339239 -0.367218),8508397,33.71,13.23,430412,31.21,81.63,932607,89.4,2,9662,447314,268720,69,84.12,57.82,585940,30.54,38.88,99.8,94.97
440,POINT (139.929053 -5.556811),10288673,93.49,20.94,721281,89.1,99.69,655356,28.54,4,22518,953516,578562,40,53.88,85.49,656917,66.41,42.16,26.13,79.27
441,POINT (116.737396 -8.371771),13569644,26.93,36.31,114152,77.33,37.88,419189,34.57,2,16848,828345,655865,73,75.4,71.51,911602,78.36,49.01,82.84,71.6
442,POINT (119.452399 -8.733716),6480971,93.35,41.42,99781,67.04,70.52,314707,55.82,3,24280,895318,999100,54,37.89,30.43,669696,96.48,12.7,4.65,38.24
443,POINT (105.186533 -5.327434),3949507,45.72,26.29,952264,6.84,24.58,320479,77.36,1,9373,351693,490616,25,11.05,1.29,14391,47.1,92.93,23.88,66.55
444,POINT (112.452892 0.424921),11474024,40.38,28.55,685126,53.06,33.68,144707,50.85,4,22781,444679,832448,47,49.53,88.78,52085,86.77,87.19,5.83,39.85
445,POINT (104.503186 -3.765857),6347588,39.42,17.37,98274,49.34,67.3,505817,96.33,3,15549,465668,415135,37,57.62,86.19,606897,31.19,48.41,0.5,43.64
446,POINT (113.665631 -0.909768),1718743,41.01,57.47,595625,44.48,45.06,694581,79.37,5,9410,634298,814552,73,98.9,10.2,391420,18.12,42.6,28.59,83.26
447,POINT (101.933914 -1.377448),3405870,14.55,62.21,358833,87.25,21.21,89987,84.94,4,8771,727895,181663,32,29.88,9.32,490861,25.66,26.55,59.01,28.72
448,POINT (102.254282 -0.897415),4779746,64.75,51.94,394929,46.73,20.89,607280,82.1,4,9608,655506,724514,66,91.69,83.21,797343,34.68,77.65,64.11,45.36
449,POINT (103.563671 -2.185754),7021905,84.03,78.81,866770,85.17,43.43,721185,52.92,5,2019,857011,111769,21,69.42,97.27,376665,33.3,95.09,42.91,17.98
450,POINT (102.192634 0.329519),13376720,82.63,40.72,217732,33.89,83.87,49866,26.61,0,4991,492307,232022,71,82.98,26.59,186334,69.97,74.26,44.23,21.15
451,POINT (98.916503 3.445454),2600025,82.98,85.24,870320,52.64,6.71,369150,51.32,3,24180,208232,989379,77,89.15,28.73,237366,55.7,28.15,77.8,97.0
452,POINT (111.092243 0.390098),11491586,71.89,73.58,3519,19.87,28.6,369430,27.53,1,2557,411987,925294,23,86.42,82.86,279364,27.64,83.63,1.21,9.97
453,POINT (105.840554 -3.459812),13937046,2.03,96.87,470041,44.94,32.14,6140,18.22,5,12174,101263,319221,25,95.72,54.49,830902,90.36,25.33,89.08,90.03
454,POINT (122.313469 -4.328186),3009223,24.23,9.13,574622,91.24,50.42,96577,71.61,1,5117,442086,473025,50,46.89,37.07,647516,96.15,34.01,67.34,71.54
455,POINT (139.619450 -4.514545),3659550,11.19,37.06,299145,75.79,93.8,188871,56.62,2,11979,708048,419863,43,30.56,33.4,197011,38.85,14.69,91.87,96.18
456,POINT (118.215062 -8.743632),6131406,97.39,49.13,926663,17.36,58.36,151207,7.32,3,22043,13340,431551,46,2.52,22.14,341687,4.09,60.2,4.39,10.12
457,POINT (130.359565 -3.442588),1280279,98.88,45.32,86720,86.04,45.58,104637,51.75,5,6845,777880,352540,60,9.11,0.32,607676,57.14,85.51,54.04,97.97
458,POINT (100.757703 2.069973),4493853,93.66,64.95,573886,10.93,31.56,496325,21.45,0,21455,915747,19880,23,83.93,75.54,923861,65.06,74.56,82.92,7.39
459,POINT (139.828503 -7.192370),4703024,3.16,42.04,185535,60.37,71.95,84751,53.79,1,5839,332369,777778,65,25.35,85.84,901047,22.38,25.07,49.73,66.25
460,POINT (139.611329 -3.957749),11347059,34.08,74.98,50537,94.36,10.83,288665,41.82,4,2994,798927,490643,46,43.24,96.64,833596,33.48,22.75,63.26,31.66
461,POINT (106.703362 -7.148265),12349269,46.21,14.43,989655,17.64,79.15,631317,17.91,3,22877,400290,26807,36,91.26,27.4,739439,93.28,46.37,42.31,16.77
462,POINT (115.117713 2.873035),4912316,37.98,21.24,211097,6.97,91.98,169868,37.82,1,16236,767492,619159,35,40.1,96.25,289754,97.93,68.81,70.01,97.73
463,POINT (116.998334 2.212844),14514639,38.44,46.91,593250,96.01,35.54,634295,28.41,5,11586,11211,222488,29,21.29,56.32,70934,78.94,34.78,80.18,56.41
464,POINT (139.884359 -4.297928),7918770,82.67,55.01,424008,47.49,32.47,513612,99.15,0,3883,915889,687049,45,57.23,40.82,49719,86.19,67.15,13.46,36.06
465,POINT (134.834450 -4.236480),14225973,3.62,43.93,776124,42.04,62.95,318588,88.29,1,14233,784246,778825,55,6.84,89.29,498432,53.05,80.89,42.91,56.64
466,POINT (102.373784 -1.573855),2886264,77.34,3.46,343853,90.97,8.41,465588,37.07,2,19093,551893,667336,31,97.44,34.86,293701,41.98,88.57,45.53,94.6
467,POINT (103.076277 -3.813349),3408001,48.45,21.16,245230,14.12,68.36,937275,84.3,0,19138,451207,397960,55,39.84,64.36,648053,95.1,43.4,18.77,96.03
468,POINT (110.888083 -0.896514),12763028,21.58,65.61,902640,65.04,4.67,878998,13.85,2,20699,387674,5180,32,85.1,13.4,496720,26.44,72.09,72.31,48.51
469,POINT (115.435475 -8.291320),10503618,19.31,61.9,846736,99.59,13.39,680896,79.06,1,20296,687882,50269,55,54.54,80.16,290655,32.12,42.33,96.76,28.94
470,POINT (112.290177 0.075818),9528444,91.48,95.1,828858,97.99,45.83,613667,8.94,3,23954,143210,494274,63,11.69,52.5,987105,99.6,35.57,78.48,53.8
471,POINT (99.016862 -1.174615),12059675,63.18,86.36,270712,35.24,28.84,382719,59.07,2,22493,248054,664786,77,96.83,31.69,565972,67.5,99.88,47.94,12.9
472,POINT (114.872000 -3.212178),2078633,94.26,78.25,306058,93.66,47.01,828028,91.62,2,5231,759645,290812,71,0.64,61.49,212077,41.48,39.37,86.47,18.85
473,POINT (101.128533 -1.143895),12784765,62.81,26.58,71114,95.49,4.88,215913,62.44,2,11153,522278,740731,66,58.07,27.78,442994,48.01,53.77,98.58,96.02
474,POINT (113.503060 -1.543463),6329704,13.84,90.64,714750,74.83,76.36,430238,47.66,2,23483,572992,36139,39,36.75,97.29,131773,8.46,48.88,45.23,80.57
475,POINT (121.978300 1.012679),2857270,99.95,5.97,622382,61.13,6.45,688305,74.59,1,6977,647089,860186,71,23.13,65.79,401184,71.7,97.32,48.65,59.52
476,POINT (100.416322 1.313547),7209525,2.54,9.82,558489,71.73,72.04,870821,85.53,4,14504,472621,225145,69,39.88,52.78,60689,74.16,2.97,59.77,37.27
477,POINT (140.509665 -7.933421),13913237,78.39,80.19,559846,48.96,7.4,144100,6.22,5,19103,102465,216880,31,36.45,17.59,443021,17.82,0.45,20.42,50.15
478,POINT (127.804227 1.701202),8419709,50.17,45.18,954023,21.22,96.2,903033,59.47,2,21826,489858,413246,77,36.58,81.74,80086,99.06,92.16,98.56,67.08
479,POINT (99.780926 2.212692),12765026,24.19,85.61,636141,80.01,39.26,354725,82.68,4,2964,754785,102867,25,67.0,47.69,326939,26.0,66.26,33.1,10.4
480,POINT (137.992849 -1.745382),7360509,30.54,43.57,973752,31.03,82.95,256224,64.66,0,24933,720096,645080,68,5.41,80.98,978233,7.95,95.15,75.76,28.09
481,POINT (119.883020 -4.235144),10739827,47.39,53.42,611542,99.94,40.66,579331,2.57,2,11315,529580,995731,46,89.91,43.48,327177,14.17,90.22,73.03,2.84
482,POINT (139.876060 -4.929135),11306521,4.8,18.4,164456,92.23,94.34,297482,83.11,3,14702,605138,103441,54,8.12,18.01,697397,21.81,47.19,58.34,21.16
483,POINT (111.049664 -7.183684),2422996,45.66,95.74,83393,2.52,34.98,714540,88.04,2,17251,978690,266387,55,87.94,15.08,868678,63.46,19.08,28.49,73.07
484,POINT (109.425015 -0.151016),8235181,88.84,41.63,384397,13.21,89.01,638582,70.57,2,7242,433365,696444,66,47.76,56.03,353441,99.48,6.68,63.67,83.87
485,POINT (108.444939 -6.618399),10208064,17.65,35.54,381044,81.8,23.71,107515,45.57,1,20409,940189,430347,61,79.5,34.27,569073,54.13,23.87,93.27,14.0
486,POINT (115.767957 2.375330),12209602,20.66,30.28,168742,48.46,5.34,154069,46.7,5,5632,253472,957383,57,20.85,55.45,627810,14.9,31.35,31.42,5.6
487,POINT (114.319129 -2.949890),3081158,50.54,0.61,519931,41.01,57.91,685463,56.35,1,5292,81581,988207,24,29.62,44.97,753080,26.11,49.12,1.46,64.8
488,POINT (114.893042 0.173117),4732501,58.51,23.57,929741,78.17,2.49,523917,72.63,1,17093,604973,108266,26,22.96,3.17,930005,63.25,14.47,0.82,42.31
489,POINT (103.246486 0.194209),14194853,79.71,77.29,8308,63.78,7.57,804952,74.93,5,16653,663596,143340,48,3.54,11.41,568845,48.35,33.49,38.07,19.78
490,POINT (114.059049 -1.056323),9406600,91.17,59.84,657376,68.57,14.81,808008,91.22,1,4546,663324,716169,46,44.33,22.06,139279,46.95,71.66,69.26,18.94
491,POINT (136.627637 -3.157825),1814913,50.05,39.43,824852,56.48,74.78,180067,19.52,4,7436,536462,624794,32,95.16,25.42,758347,17.77,93.46,97.78,9.06
492,POINT (99.312205 2.644678),10533628,62.73,26.23,73643,20.8,11.6,311979,86.37,4,22845,662324,278641,63,45.26,17.01,882920,31.78,85.45,13.75,15.83
493,POINT (109.482382 1.538963),11936166,82.05,86.67,884718,53.32,74.88,569035,7.21,4,2834,663808,499596,23,43.98,21.95,976280,68.89,5.79,65.19,1.04
494,POINT (112.692056 -1.531502),13712219,5.89,95.36,584108,39.08,49.57,406607,87.93,0,5290,513311,40851,33,81.71,78.68,967443,0.68,87.51,78.08,41.86
495,POINT (119.997428 -3.083425),12326397,12.63,10.82,184351,41.36,38.41,639227,11.17,3,2588,883395,130925,60,14.89,61.11,281455,59.4,39.11,50.7,56.49
496,POINT (109.139128 -7.016555),11687169,21.31,80.86,2801,95.84,89.83,358753,74.55,2,5546,72953,187483,75,67.84,88.61,94104,26.38,65.1,16.8,18.07
497,POINT (112.737132 0.952152),7674583,17.21,75.89,920712,77.76,84.67,378768,74.14,4,24264,951246,742653,77,76.31,47.64,737979,41.87,13.82,88.42,82.58
498,POINT (138.757132 -5.886545),10819882,62.18,70.27,577403,16.53,61.68,399156,19.26,1,24942,534248,844102,32,75.49,56.31,988595,49.07,98.22,28.84,42.03
499,POINT (136.237388 -3.821076),1069040,2.39,45.74,347984,78.73,96.81,21360,49.19,4,2105,588795,440096,29,38.31,86.69,110679,64.94,74.05,62.93,34.59
500,POINT (100.010458 1.725298),7469347,24.95,94.23,196902,11.32,23.17,103182,41.5,3,5115,646654,226341,27,20.24,19.38,971730,47.16,53.63,70.36,94.04
501,POINT (132.535079 -1.920493),14439348,6.56,97.35,7033,66.06,51.92,76960,30.75,5,8438,460224,440477,41,81.61,74.27,314006,12.86,97.04,79.68,46.13
502,POINT (116.339150 0.046624),12427254,21.07,57.31,119672,94.56,51.97,345775,82.53,2,15737,78114,827758,31,32.78,76.21,191282,14.93,84.2,33.23,15.98
503,POINT (123.226301 0.829299),11540229,0.84,2.6,750803,72.86,0.67,996997,23.63,0,9861,829662,297030,28,77.83,20.59,4305,71.14,18.7,59.02,65.95
504,POINT (105.340914 -3.081693),14246068,13.33,18.34,309637,72.29,50.3,403957,76.17,0,16167,437579,119630,63,69.46,63.27,144518,27.13,20.52,95.57,7.15
505,POINT (121.432810 -3.160415),13660808,49.13,33.85,166214,75.0,36.43,849686,99.86,0,13639,124743,521550,33,7.25,36.19,575216,36.38,7.85,83.86,53.48
506,POINT (129.344387 -2.906468),8202838,88.31,45.05,777729,82.15,53.95,281488,42.47,5,3046,115572,459382,21,35.49,10.8,893551,7.59,27.59,47.63,10.16
507,POINT (100.824333 -1.694913),11964170,31.6,30.44,3951,27.17,14.88,20825,52.79,3,4233,103922,71680,43,31.63,46.78,402887,3.07,16.31,57.9,82.64
508,POINT (111.029264 -0.781441),1467612,60.34,19.7,807863,75.64,67.62,94203,37.29,1,10714,647377,703008,77,62.98,94.03,507932,1.56,18.41,96.38,86.07
509,POINT (115.733773 4.075183),5058846,0.0,35.82,808162,31.33,18.46,669249,24.37,2,11695,892147,392273,27,41.06,24.56,848436,99.59,20.12,2.43,20.78
510,POINT (100.016175 0.059503),1637373,55.35,22.77,212653,31.05,2.08,588817,71.24,1,22386,507080,32608,40,93.58,49.36,835777,87.13,68.8,49.22,64.33
511,POINT (100.806036 -1.755586),10801539,96.69,79.66,250199,97.93,89.78,277116,67.07,5,11346,125771,153746,70,87.76,51.7,314597,66.7,48.3,59.53,1.87
512,POINT (124.177319 -9.946691),14064663,11.46,59.54,773417,64.54,5.9,659229,13.67,4,8501,758237,782663,75,33.35,84.53,830696,72.68,14.35,74.24,45.76
513,POINT (140.187212 -3.082830),9420965,90.22,65.23,581789,98.18,0.54,986147,76.23,3,5423,189131,688778,65,65.67,58.99,470845,54.25,93.24,71.37,24.35
514,POINT (121.955631 -8.602051),4553312,84.89,4.87,993224,44.26,50.0,235567,1.67,2,24003,853562,214312,34,24.27,45.59,492673,6.42,29.24,48.73,45.25
515,POINT (138.706485 -7.923512),8083741,25.92,83.06,269511,40.08,29.99,324992,12.54,0,15241,494230,217389,76,21.72,58.27,477374,29.47,16.89,52.8,1.63
516,POINT (114.450503 -3.246145),1673092,71.53,82.57,644513,83.71,95.75,739827,62.97,0,20645,359848,738126,33,82.63,2.86,634095,77.19,35.44,77.18,84.06
517,POINT (139.859970 -2.719966),5611074,13.15,12.78,658229,45.43,1.26,504648,76.16,3,23792,290845,603175,70,50.56,75.66,528938,37.86,57.26,93.0,90.75
518,POINT (110.429882 -0.042755),10813048,17.29,7.66,413721,52.54,19.43,206326,8.78,5,14112,32222,665010,55,37.19,18.69,974882,33.7,40.03,43.45,79.31
519,POINT (130.858085 -0.174383),7861283,99.03,29.49,601719,82.49,78.07,342991,8.89,2,23012,702126,54212,58,58.51,72.8,771627,48.25,53.23,16.61,9.68
520,POINT (139.732426 -4.143544),4434713,83.83,15.26,142318,74.17,56.84,871906,94.17,0,12647,863091,288158,49,65.43,29.67,523403,21.18,65.9,35.74,88.3
521,POINT (107.181973 -6.534613),2267424,85.15,42.01,531092,35.15,36.97,985557,82.5,4,12931,823920,245103,51,88.55,44.51,693131,45.75,53.2,55.04,0.65
522,POINT (113.774361 -1.697016),7986704,88.16,3.03,827523,34.57,83.29,722474,75.21,0,17719,721457,944796,67,21.99,66.84,416967,75.91,79.88,92.9,27.2
523,POINT (140.861931 -2.980238),2926022,10.93,61.01,271844,28.14,0.3,435359,93.09,4,12729,625701,899329,59,74.94,76.62,481678,43.33,44.63,9.45,6.67
524,POINT (116.498570 1.882835),11390683,91.96,8.49,18158,95.39,61.6,678311,11.36,1,7253,175083,879045,38,56.6,34.13,754287,7.44,60.21,56.04,82.09
525,POINT (115.669722 -0.350486),3004141,24.66,23.49,695037,98.79,63.96,461995,46.39,0,18590,469941,3235,68,97.54,80.53,525836,92.55,5.0,78.31,74.95
526,POINT (120.169324 -2.623964),1776792,80.18,10.82,24906,4.44,47.28,41608,8.89,5,6347,197403,165162,50,84.14,98.82,869383,52.2,64.77,72.17,8.33
527,POINT (100.517619 -0.402443),4048945,18.98,87.88,357485,46.11,76.67,346565,13.39,0,21236,713741,222523,54,96.31,33.33,916077,77.85,42.23,25.19,43.67
528,POINT (107.015911 -6.612524),1878666,78.35,60.38,936408,39.04,8.1,894691,53.69,4,20953,928203,419022,27,40.0,50.97,547334,52.44,69.81,72.35,87.91
529,POINT (133.488280 -1.071461),3604126,14.68,75.79,410302,11.09,72.79,225247,47.34,5,11885,767968,335660,38,66.99,14.44,646236,63.1,57.28,67.03,9.43
530,POINT (124.912026 1.296946),4682037,50.81,19.82,711156,53.36,21.41,230856,90.27,5,5714,823934,292411,27,16.14,61.91,889489,63.17,8.79,62.28,23.75
531,POINT (122.688029 -4.426459),11734571,28.69,40.37,26748,3.34,84.42,93459,42.76,0,23804,851640,293530,73,21.55,13.05,865979,37.7,4.34,73.12,87.04
532,POINT (137.926793 -8.293418),4469816,81.19,90.2,949891,88.4,74.04,958536,23.2,0,14377,572269,96880,38,64.64,93.55,154920,41.85,41.0,77.92,99.57
533,POINT (118.076995 1.286575),6102108,84.05,22.5,11485,25.18,9.77,182972,78.5,2,20894,572016,365161,75,23.95,81.36,746304,92.6,1.09,6.53,73.91
534,POINT (123.946042 0.411499),4775109,92.77,5.6,794363,62.38,46.42,772681,95.53,5,16535,977442,962088,77,62.44,59.93,913267,99.72,81.51,65.25,78.84
535,POINT (101.709478 0.502344),10644371,38.86,32.77,705569,27.37,8.45,427071,85.9,5,12242,82961,539998,23,35.68,92.29,712088,83.24,5.02,72.7,19.5
536,POINT (136.287590 -3.508574),9875654,12.44,53.87,52631,4.59,67.34,468295,43.07,5,21005,279365,312966,33,65.96,70.7,651060,92.83,38.34,28.66,30.95
537,POINT (110.701502 -2.835312),4585861,67.68,50.01,463542,30.28,42.99,286247,9.83,3,23816,67858,392362,34,13.68,71.46,836697,29.08,5.97,77.86,43.69
538,POINT (131.992790 -1.352879),5078166,59.74,25.05,955526,28.23,14.41,199216,91.58,2,3949,69167,870458,67,19.51,66.85,499095,81.24,99.92,32.33,10.88
539,POINT (114.935424 0.874235),12250111,13.86,65.44,681173,16.93,61.83,826063,90.06,0,21558,635052,851611,69,29.91,88.27,48815,31.01,24.88,33.14,52.95
540,POINT (103.862384 -4.905039),13048419,92.92,18.73,810240,36.08,65.66,214166,40.24,5,20797,209622,531736,27,13.01,11.44,566953,24.96,73.01,84.2,72.37
541,POINT (97.799248 4.039518),5945145,98.61,57.05,885765,8.36,28.64,240865,55.08,3,4517,759983,927664,39,85.81,93.7,32208,18.46,74.8,78.68,32.57
542,POINT (123.287443 -0.683190),11597893,12.75,74.0,907330,51.17,57.52,910924,2.04,3,6552,848925,783964,75,99.37,24.46,663657,48.69,31.32,72.16,24.09
543,POINT (138.448874 -7.616838),3248029,53.5,72.3,845147,16.19,56.86,519039,7.38,2,14884,357222,243694,20,23.88,74.44,297082,41.78,15.92,29.65,72.83
544,POINT (106.036684 -3.049885),11471202,67.37,86.89,680412,98.05,68.59,467701,28.35,5,15156,302097,777184,36,36.27,20.75,945161,62.34,69.82,67.99,54.64
545,POINT (108.478145 -7.717153),7159601,46.99,83.66,64511,94.41,24.01,204593,51.87,0,13349,203053,738476,77,34.53,20.68,938071,94.62,9.14,48.76,7.73
546,POINT (121.810267 0.610380),1381836,23.43,12.87,951881,59.43,6.19,499396,95.73,0,23975,179995,518102,25,89.17,44.08,68884,4.53,2.74,23.71,48.65
547,POINT (102.209694 0.336952),10173612,55.63,72.95,735027,52.65,4.84,855897,86.91,3,24563,52192,869541,70,85.37,24.62,482162,20.42,58.46,51.17,22.59
548,POINT (112.557504 -3.415150),1583461,47.35,40.4,199973,66.3,26.32,764430,10.61,0,12038,178436,460197,34,19.7,0.54,991380,8.14,18.73,43.88,45.4
549,POINT (126.864010 -3.338270),2718606,83.99,7.0,158852,75.59,46.96,424194,86.12,1,6820,229857,97832,73,46.13,79.52,423580,46.74,51.3,24.36,54.35
550,POINT (124.161082 -9.550230),1446778,12.61,58.84,210976,25.09,6.89,968844,65.07,3,13780,906198,518745,42,16.82,6.47,636086,45.52,32.24,74.1,79.43
551,POINT (124.618292 1.062630),14357860,84.35,60.55,841439,49.8,57.21,836737,17.32,4,10452,619172,289671,49,92.91,35.73,987566,36.4,1.95,37.81,24.41
552,POINT (138.184740 -4.252876),14031509,21.58,65.94,878408,14.73,24.64,281163,21.4,2,23625,527445,237830,44,56.44,44.63,41905,13.34,77.16,88.95,48.94
